bigram,frequency,probability
ال,1365126,0.0659163
لم,297613,0.01437054
لا,290934,0.01404804
نا,237849,0.01148479
ما,224831,0.0108562
وا,213689,0.0103182
يا,212771,0.01027387
ات,206104,0.00995195
را,204792,0.0098886
ةا,191160,0.00923037
ية,184527,0.00891009
من,180860,0.00873302
في,170262,0.00822129
ان,167405,0.00808334
ار,156241,0.00754428
با,154954,0.00748213
لي,150288,0.00725683
ها,145378,0.00701975
لت,139503,0.00673607
ام,139307,0.0067266
عل,131374,0.00634355
ين,130730,0.00631246
ري,130436,0.00629826
تا,126877,0.00612641
دا,126735,0.00611955
عا,119176,0.00575456
ول,109246,0.00527508
لى,107186,0.00517561
ني,104948,0.00506755
لأ,103791,0.00501168
لل,103364,0.00499107
لع,101656,0.00490859
قا,97837,0.00472419
اب,96606,0.00466475
ير,95871,0.00462926
بي,95754,0.00462361
دي,93060,0.00449353
سا,88318,0.00426456
يم,86565,0.00417991
مو,86193,0.00416195
لو,85974,0.00415137
مي,84784,0.00409391
اس,82407,0.00397914
ون,81553,0.0039379
لك,81514,0.00393602
لس,79187,0.00382366
ور,78960,0.0038127
ةو,78878,0.00380874
يو,78040,0.00376828
كا,77538,0.00374404
لب,77165,0.00372602
وم,76514,0.00369459
اع,76411,0.00368962
يل,75792,0.00365973
مع,75069,0.00362482
نت,73931,0.00356987
اد,73708,0.0035591
رو,71118,0.00343404
ست,70733,0.00341545
له,69554,0.00335852
سي,69445,0.00335326
تم,68396,0.00330261
مل,67872,0.0032773
تو,67441,0.00325649
لف,67277,0.00324857
رة,66862,0.00322854
اف,66324,0.00320256
أن,66151,0.0031942
اء,66123,0.00319285
لح,65465,0.00316108
لق,65388,0.00315736
يد,65368,0.0031564
اي,65255,0.00315094
نو,65164,0.00314655
اا,64214,0.00310068
او,62689,0.00302704
فا,62486,0.00301724
يت,61017,0.00294631
هم,60889,0.00294012
جا,60389,0.00291598
ةم,60045,0.00289937
ىا,59912,0.00289295
دو,56909,0.00274795
مر,55917,0.00270005
تي,55836,0.00269614
مت,55833,0.00269599
رب,55678,0.00268851
مس,54874,0.00264969
وي,54465,0.00262994
لن,54274,0.00262071
تع,53898,0.00260256
ائ,53866,0.00260101
لد,53448,0.00258083
نه,53406,0.0025788
عد,52995,0.00255896
بر,52500,0.00253505
حا,52170,0.00251912
رك,51919,0.002507
تر,51904,0.00250628
دم,51730,0.00249787
عم,51079,0.00246644
هو,50739,0.00245002
يع,50646,0.00244553
يق,49998,0.00241424
لج,49735,0.00240154
دة,47548,0.00229594
عن,47535,0.00229532
يس,47451,0.00229126
لإ,47390,0.00228831
تح,46745,0.00225717
نم,46626,0.00225142
اق,46474,0.00224408
اح,46460,0.00224341
لة,46319,0.0022366
يه,46093,0.00222569
شر,45890,0.00221589
يب,44477,0.00214766
كو,44233,0.00213588
ةل,44082,0.00212858
ته,43645,0.00210748
بع,43366,0.00209401
كل,43247,0.00208827
طا,42919,0.00207243
لش,42896,0.00207132
عر,42651,0.00205949
مة,42007,0.00202839
وق,41681,0.00201265
شا,41624,0.0020099
رم,41554,0.00200652
يف,41406,0.00199937
بو,41177,0.00198831
لر,41092,0.00198421
يك,40586,0.00195978
ذا,40416,0.00195157
اه,40008,0.00193187
وت,39663,0.00191521
اج,39171,0.00189145
قي,38398,0.00185413
ةب,38097,0.00183959
سل,37936,0.00183182
إل,37909,0.00183052
وب,37866,0.00182844
بل,37821,0.00182627
تب,37633,0.00181719
حد,37596,0.0018154
تق,37366,0.0018043
ضا,37294,0.00180082
مد,37142,0.00179348
در,37120,0.00179242
اك,37085,0.00179073
قد,37041,0.0017886
مب,36743,0.00177421
وع,36593,0.00176697
رف,36252,0.00175051
مح,36157,0.00174592
جم,36126,0.00174442
ةف,36098,0.00174307
نف,35884,0.00173274
أو,35171,0.00169831
سو,35061,0.001693
عي,34787,0.00167977
قو,34645,0.00167291
ود,34590,0.00167026
وس,34143,0.00164867
كم,33999,0.00164172
حي,33869,0.00163544
مم,33657,0.0016252
سب,33539,0.00161951
لخ,33423,0.00161391
هذ,33412,0.00161337
نب,33365,0.00161111
تف,33304,0.00160816
عب,33010,0.00159396
لص,32985,0.00159276
صا,32868,0.00158711
سم,32686,0.00157832
ند,32456,0.00156721
كي,32399,0.00156446
كن,31980,0.00154423
تل,31803,0.00153568
حم,31438,0.00151806
عة,31425,0.00151743
فر,31352,0.00151391
أم,31300,0.0015114
نس,31037,0.0014987
خل,30489,0.00147224
يي,30429,0.00146934
زا,30344,0.00146523
وف,30219,0.0014592
كر,29600,0.00142931
بن,29528,0.00142583
زي,29390,0.00141917
مج,29302,0.00141492
مك,29299,0.00141478
رت,28922,0.00139657
خا,28700,0.00138585
تن,28688,0.00138527
هي,28480,0.00137523
مش,28321,0.00136755
بة,27369,0.00132158
تج,27287,0.00131762
ةع,27179,0.00131241
نع,27153,0.00131115
قة,26888,0.00129836
كت,26809,0.00129454
نأ,26716,0.00129005
وج,26461,0.00127774
عو,26174,0.00126388
بد,26044,0.0012576
رج,25949,0.00125302
تك,25895,0.00125041
أس,25828,0.00124717
جي,25779,0.00124481
ةت,25659,0.00123901
نة,25606,0.00123646
لط,25456,0.00122921
قر,25421,0.00122752
رس,25307,0.00122202
إن,25268,0.00122013
يح,25002,0.00120729
لذ,24927,0.00120367
بت,24749,0.00119507
هل,24715,0.00119343
حت,24639,0.00118976
مه,24537,0.00118484
اخ,24385,0.0011775
اص,24347,0.00117566
صل,24248,0.00117088
قل,24196,0.00116837
ةأ,24034,0.00116055
رق,23766,0.00114761
ئي,23762,0.00114742
ءا,23749,0.00114679
بم,23666,0.00114278
تس,23646,0.00114182
جد,23588,0.00113901
حل,23422,0.001131
تد,23349,0.00112747
وأ,23316,0.00112588
ثا,23181,0.00111936
به,23121,0.00111647
نق,23085,0.00111473
تص,22860,0.00110386
جو,22814,0.00110164
فو,22675,0.00109493
قب,22535,0.00108817
صر,22331,0.00107832
وك,22267,0.00107523
صو,22256,0.0010747
طر,22135,0.00106886
مص,21991,0.0010619
يج,21893,0.00105717
رع,21826,0.00105393
هر,21790,0.0010522
تت,21684,0.00104708
حر,21585,0.0010423
رد,21567,0.00104143
اط,21524,0.00103935
مق,21521,0.00103921
ره,21506,0.00103848
سع,21322,0.0010296
فت,21315,0.00102926
خر,20946,0.00101144
جل,20863,0.00100744
تخ,20785,0.00100367
فة,20772,0.00100304
قت,20624,0.0009959
عت,20438,0.00098691
هد,20246,0.00097764
وه,20203,0.00097557
بح,20185,0.0009747
كة,20176,0.00097426
اأ,20122,0.00097166
صي,20122,0.00097166
ىم,19885,0.00096021
اض,19831,0.0009576
حو,19738,0.00095311
ذي,19600,0.00094645
تش,19585,0.00094573
نك,19556,0.00094433
يأ,19498,0.00094153
لغ,19290,0.00093148
دع,18800,0.00090782
مف,18795,0.00090758
شي,18761,0.00090594
جه,18681,0.00090208
لث,18527,0.00089464
سر,18287,0.00088305
نل,18213,0.00087948
از,18145,0.00087619
فع,18117,0.00087484
جر,18100,0.00087402
ذه,18084,0.00087325
غي,17985,0.00086847
وح,17927,0.00086567
وض,17856,0.00086224
طل,17787,0.00085891
تأ,17741,0.00085669
فل,17656,0.00085258
كب,17612,0.00085046
نج,17583,0.00084906
وز,17426,0.00084148
طي,17347,0.00083766
دل,17346,0.00083761
رح,17317,0.00083621
طو,17214,0.00083124
رض,17208,0.00083095
فق,17086,0.00082506
رأ,17024,0.00082207
قع,16983,0.00082009
اش,16909,0.00081651
نح,16633,0.00080319
قم,16606,0.00080188
نش,16530,0.00079821
أي,16386,0.00079126
سن,16365,0.00079025
رن,16336,0.00078885
دف,16225,0.00078349
يز,16187,0.00078165
أخ,16115,0.00077817
حق,16064,0.00077571
ده,15981,0.0007717
يخ,15940,0.00076972
حة,15776,0.00076181
هن,15774,0.00076171
طب,15757,0.00076089
أك,15635,0.000755
ضي,15621,0.00075432
ذل,15567,0.00075171
نظ,15532,0.00075002
بق,15441,0.00074563
هب,15378,0.00074259
دت,15034,0.00072598
يش,14928,0.00072086
جن,14701,0.0007099
دد,14645,0.00070719
أح,14483,0.00069937
قط,14474,0.00069894
خي,14469,0.0006987
يط,14289,0.00069
سط,14159,0.00068373
خد,14077,0.00067977
دق,14054,0.00067866
بأ,13860,0.00066929
دأ,13833,0.00066799
ثل,13827,0.0006677
شك,13824,0.00066755
ضو,13824,0.00066755
فن,13817,0.00066721
مخ,13594,0.00065645
ةإ,13593,0.0006564
وص,13558,0.00065471
تط,13539,0.00065379
أر,13494,0.00065162
سك,13417,0.0006479
فس,13371,0.00064568
نن,13339,0.00064413
وو,13334,0.00064389
دب,13223,0.00063853
ةك,13096,0.0006324
غا,13072,0.00063124
نص,12952,0.00062545
نط,12945,0.00062511
كس,12909,0.00062337
غر,12856,0.00062081
حس,12821,0.00061912
حب,12749,0.00061564
صف,12735,0.00061497
بك,12717,0.0006141
يث,12715,0.000614
أع,12664,0.00061154
ىأ,12519,0.00060454
ثي,12479,0.00060261
رل,12462,0.00060179
بط,12447,0.00060106
خب,12376,0.00059763
كث,12373,0.00059749
بب,12371,0.00059739
دن,12341,0.00059594
حك,12316,0.00059474
أب,12313,0.00059459
طة,12241,0.00059112
صح,12160,0.0005872
خت,12158,0.00058711
اث,12086,0.00058363
لز,12012,0.00058006
بس,11878,0.00057359
فى,11756,0.0005677
مث,11711,0.00056552
وط,11666,0.00056335
صد,11637,0.00056195
سة,11589,0.00055963
خط,11357,0.00054843
ثم,11292,0.00054529
يض,11230,0.0005423
رى,11226,0.00054211
عه,11186,0.00054017
جب,11167,0.00053926
زو,11142,0.00053805
هف,11120,0.00053699
اة,11118,0.00053689
رئ,11075,0.00053481
عض,11059,0.00053404
عق,11015,0.00053192
شع,10968,0.00052965
فه,10955,0.00052902
بش,10913,0.00052699
إس,10911,0.0005269
مأ,10856,0.00052424
أل,10792,0.00052115
فض,10767,0.00051994
سه,10755,0.00051936
ظا,10743,0.00051878
شه,10708,0.00051709
خص,10594,0.00051159
ثر,10514,0.00050773
طن,10422,0.00050328
ةح,10402,0.00050232
جت,10299,0.00049734
دى,10129,0.00048914
زم,9972,0.00048155
قف,9950,0.00048049
مط,9925,0.00047929
مؤ,9917,0.0004789
هع,9900,0.00047808
فم,9835,0.00047494
صب,9795,0.00047301
صة,9715,0.00046915
كف,9665,0.00046673
تى,9593,0.00046325
نخ,9501,0.00045881
يص,9457,0.00045669
ىت,9305,0.00044935
ةس,9291,0.00044867
جع,9263,0.00044732
صن,9229,0.00044568
ةن,9151,0.00044191
ةي,9135,0.00044114
دس,9128,0.0004408
ىو,9067,0.00043786
قص,9034,0.00043626
سف,9031,0.00043612
هه,8889,0.00042926
جز,8880,0.00042883
ضم,8852,0.00042747
اإ,8764,0.00042323
دك,8660,0.0004182
هت,8621,0.00041632
ضل,8611,0.00041584
أج,8586,0.00041463
طف,8474,0.00040922
ضع,8468,0.00040893
ضر,8421,0.00040666
جة,8391,0.00040521
أف,8340,0.00040275
رش,8326,0.00040208
اذ,8291,0.00040039
نز,8283,0.0004
لآ,8233,0.00039759
وإ,8196,0.0003958
حف,8181,0.00039507
حص,8156,0.00039387
رر,8068,0.00038962
ةق,8042,0.00038836
فك,8009,0.00038677
ةش,7979,0.00038532
تغ,7963,0.00038455
وى,7932,0.00038305
شب,7901,0.00038155
طع,7839,0.00037856
إي,7716,0.00037262
مز,7682,0.00037098
ىب,7677,0.00037074
شو,7642,0.00036905
نإ,7641,0.000369
نر,7619,0.00036794
ةج,7614,0.0003677
سج,7572,0.00036567
دخ,7498,0.0003621
يإ,7475,0.00036098
أه,7458,0.00036016
ةه,7443,0.00035944
بف,7441,0.00035934
أص,7412,0.00035794
عف,7352,0.00035505
خو,7228,0.00034906
شف,7221,0.00034872
قه,7218,0.00034858
ئل,7198,0.00034761
طق,7192,0.00034732
ءو,7185,0.00034698
ذك,7171,0.00034631
إذ,7149,0.00034524
وش,7118,0.00034375
إع,7081,0.00034196
رص,7081,0.00034196
نى,7021,0.00033906
عش,6996,0.00033786
نذ,6978,0.00033699
زل,6968,0.0003365
زة,6912,0.0003338
شم,6897,0.00033308
دث,6868,0.00033168
لض,6857,0.00033114
أد,6829,0.00032979
أق,6756,0.00032627
ئة,6747,0.00032583
قن,6737,0.00032535
وة,6712,0.00032414
فح,6678,0.0003225
ثن,6656,0.00032144
صم,6643,0.00032081
ةر,6579,0.00031772
ءم,6555,0.00031656
ظر,6550,0.00031632
هأ,6516,0.00031468
ةد,6451,0.00031154
أش,6445,0.00031125
غل,6413,0.00030971
كأ,6389,0.00030855
اغ,6340,0.00030618
حن,6260,0.00030232
شت,6250,0.00030183
كز,6228,0.00030077
حج,6158,0.00029739
مغ,6147,0.00029686
ىع,6135,0.00029628
قس,5935,0.00028662
فب,5934,0.00028658
ئر,5919,0.00028585
تز,5794,0.00027982
ىل,5794,0.00027982
يذ,5758,0.00027808
ثو,5726,0.00027653
ظي,5718,0.00027615
آخ,5709,0.00027571
شخ,5707,0.00027562
مض,5690,0.00027479
عز,5680,0.00027431
رغ,5679,0.00027426
سس,5668,0.00027373
عط,5653,0.00027301
ئم,5642,0.00027248
أت,5600,0.00027045
فظ,5558,0.00026842
كد,5534,0.00026726
زب,5488,0.00026504
فإ,5467,0.00026403
بإ,5465,0.00026393
وخ,5460,0.00026369
تض,5405,0.00026103
حث,5370,0.00025934
ظم,5363,0.00025901
خم,5352,0.00025847
كه,5333,0.00025756
ثق,5299,0.00025591
ىف,5169,0.00024964
عج,5152,0.00024882
وغ,5142,0.00024833
زر,5140,0.00024824
رط,5091,0.00024587
طم,5090,0.00024582
فأ,5082,0.00024544
يئ,5071,0.00024491
رإ,5069,0.00024481
وذ,5057,0.00024423
خف,5026,0.00024273
ضح,4950,0.00023906
كع,4946,0.00023887
عأ,4933,0.00023824
وظ,4931,0.00023815
هج,4928,0.000238
ةخ,4916,0.00023742
قض,4916,0.00023742
عع,4913,0.00023728
عس,4857,0.00023457
عك,4835,0.00023351
أط,4800,0.00023182
آل,4757,0.00022974
سأ,4738,0.00022883
تث,4717,0.00022781
مإ,4715,0.00022772
هك,4710,0.00022747
ضة,4676,0.00022583
ةص,4657,0.00022492
وث,4636,0.0002239
إد,4626,0.00022342
آن,4624,0.00022332
يغ,4619,0.00022308
نغ,4581,0.00022125
إم,4553,0.00021989
بج,4551,0.0002198
ظه,4540,0.00021927
حز,4491,0.0002169
ىح,4478,0.00021627
هة,4456,0.00021521
تإ,4427,0.00021381
إج,4192,0.00020246
رخ,4191,0.00020241
سد,4182,0.00020198
ىإ,4171,0.00020145
أث,4167,0.00020126
زع,4165,0.00020116
كش,4142,0.00020005
رز,4137,0.00019981
ئا,4086,0.00019734
جس,4078,0.00019696
غم,4072,0.00019667
دح,4040,0.00019512
ثة,3999,0.00019314
عص,3989,0.00019266
كذ,3987,0.00019256
ىن,3966,0.00019155
بص,3891,0.00018793
حض,3887,0.00018774
ءف,3853,0.00018609
بخ,3833,0.00018513
فف,3829,0.00018493
ىس,3827,0.00018484
شد,3814,0.00018421
صع,3812,0.00018411
هإ,3732,0.00018025
فص,3724,0.00017986
ءب,3676,0.00017755
قق,3642,0.00017591
ىك,3619,0.00017479
ىج,3608,0.00017426
هز,3587,0.00017325
ئد,3581,0.00017296
زه,3553,0.00017161
زن,3533,0.00017064
سح,3528,0.0001704
ءع,3481,0.00016813
ؤو,3450,0.00016663
شق,3443,0.0001663
ثب,3435,0.00016591
ىق,3405,0.00016446
إض,3405,0.00016446
ىي,3394,0.00016393
تظ,3341,0.00016137
قى,3340,0.00016132
سؤ,3333,0.00016098
أغ,3329,0.00016079
إر,3286,0.00015872
ةط,3285,0.00015867
سق,3283,0.00015857
غو,3217,0.00015538
إق,3209,0.000155
ؤس,3203,0.00015471
هق,3190,0.00015408
صغ,3184,0.00015379
ىه,3174,0.00015331
ضب,3160,0.00015263
دإ,3147,0.000152
ذب,3144,0.00015186
حظ,3119,0.00015065
غن,3112,0.00015031
خذ,3060,0.0001478
بغ,3047,0.00014718
غة,3005,0.00014515
ثع,2989,0.00014437
ئع,2966,0.00014326
ظل,2955,0.00014273
ذر,2942,0.00014211
عظ,2931,0.00014157
ظة,2930,0.00014153
شة,2875,0.00013887
صص,2858,0.00013805
حه,2856,0.00013795
إح,2844,0.00013737
تذ,2832,0.00013679
أز,2812,0.00013583
ىد,2804,0.00013544
طه,2796,0.00013506
فط,2790,0.00013477
ىر,2780,0.00013428
دج,2780,0.00013428
ءأ,2764,0.00013351
هس,2759,0.00013327
حط,2752,0.00013293
ءل,2752,0.00013293
فج,2751,0.00013288
فد,2734,0.00013206
غط,2710,0.0001309
شأ,2698,0.00013032
لظ,2696,0.00013023
نض,2676,0.00012926
ءت,2671,0.00012902
مى,2669,0.00012892
ضه,2659,0.00012844
أض,2655,0.00012825
سخ,2649,0.00012796
قأ,2640,0.00012752
دش,2639,0.00012747
شغ,2636,0.00012733
ذو,2627,0.0001269
إب,2620,0.00012656
يء,2616,0.00012636
بض,2586,0.00012492
ىش,2577,0.00012448
فش,2576,0.00012443
إص,2567,0.000124
عث,2550,0.00012318
إط,2548,0.00012308
مذ,2535,0.00012245
ئب,2534,0.0001224
ئه,2500,0.00012076
هح,2485,0.00012004
ةغ,2483,0.00011994
شن,2454,0.00011854
بذ,2410,0.00011642
أة,2380,0.00011497
ئق,2380,0.00011497
غب,2356,0.00011381
شل,2343,0.00011318
حذ,2326,0.00011236
غس,2326,0.00011236
نث,2307,0.00011144
طت,2297,0.00011096
عإ,2274,0.00010985
رآ,2271,0.00010971
كك,2255,0.00010893
وء,2254,0.00010888
طح,2241,0.00010826
اظ,2216,0.00010705
ضد,2209,0.00010671
ثت,2207,0.00010662
يؤ,2159,0.0001043
جح,2151,0.00010391
ئف,2144,0.00010357
إخ,2096,0.00010126
ءة,2092,0.00010106
قش,2091,0.00010101
سى,2072,0.0001001
شح,2057,9.937e-05
زف,2039,9.85e-05
تة,2011,9.715e-05
هش,1980,9.565e-05
غد,1974,9.536e-05
يظ,1972,9.527e-05
ضف,1968,9.507e-05
زت,1951,9.425e-05
ضغ,1951,9.425e-05
جف,1945,9.396e-05
عذ,1923,9.29e-05
كح,1920,9.276e-05
شج,1919,9.271e-05
خن,1903,9.194e-05
إش,1903,9.194e-05
إث,1901,9.184e-05
فز,1895,9.155e-05
بث,1888,9.121e-05
ىخ,1882,9.092e-05
ىص,1874,9.054e-05
ةث,1873,9.049e-05
ؤل,1865,9.01e-05
عح,1859,8.981e-05
طس,1853,8.952e-05
ضت,1851,8.943e-05
