bigram,frequency,probability,language
th,1631597,0.02414978,en
in,1348992,0.01996686,en
he,1273723,0.01885278,en
er,1119686,0.01657283,en
an,1090031,0.0161339,en
re,1011414,0.01497026,en
es,925289,0.0136955,en
on,867809,0.01284472,en
st,842975,0.01247715,en
at,776374,0.01149136,en
nt,771391,0.01141761,en
ti,771224,0.01141514,en
or,752283,0.01113479,en
en,751761,0.01112706,en
nd,738619,0.01093254,en
to,731614,0.01082886,en
ea,711380,0.01052937,en
te,654186,0.00968282,en
ou,650982,0.0096354,en
ng,627952,0.00929452,en
ed,621868,0.00920447,en
it,616275,0.00912169,en
ar,614983,0.00910257,en
al,597874,0.00884933,en
et,563945,0.00834714,en
is,549108,0.00812753,en
ha,534493,0.00791121,en
se,507841,0.00751672,en
as,482374,0.00713978,en
le,478777,0.00708654,en
ve,469222,0.00694511,en
ro,463671,0.00686295,en
si,458313,0.00678365,en
ra,446342,0.00660646,en
sa,445866,0.00659941,en
of,443223,0.00656029,en
ta,434419,0.00642998,en
co,428875,0.00634792,en
ne,428017,0.00633523,en
me,423435,0.00626741,en
de,423110,0.0062626,en
ri,419346,0.00620688,en
ec,417713,0.00618271,en
ll,384966,0.00569801,en
li,381125,0.00564116,en
ur,375429,0.00555685,en
so,370284,0.0054807,en
hi,369732,0.00547253,en
io,365515,0.00541011,en
el,364676,0.0053977,en
om,354165,0.00524212,en
ic,351410,0.00520134,en
di,351272,0.0051993,en
ma,341331,0.00505216,en
ce,334546,0.00495173,en
na,334157,0.00494597,en
rt,329272,0.00487367,en
la,326546,0.00483332,en
ca,323967,0.00479515,en
ns,316563,0.00468556,en
fo,313342,0.00463789,en
rs,311538,0.00461118,en
yo,310659,0.00459817,en
ss,309982,0.00458815,en
ch,305429,0.00452076,en
ts,300700,0.00445077,en
ot,299711,0.00443613,en
ac,295011,0.00436656,en
ho,294523,0.00435934,en
ee,294159,0.00435395,en
tt,292721,0.00433267,en
em,287366,0.00425341,en
il,287301,0.00425244,en
be,285864,0.00423118,en
no,277542,0.004108,en
lo,275535,0.00407829,en
us,275491,0.00407764,en
ni,269084,0.00398281,en
ei,268181,0.00396944,en
wi,264521,0.00391527,en
pr,255251,0.00377806,en
da,254302,0.00376402,en
pe,252660,0.00373971,en
tr,247849,0.0036685,en
nc,243771,0.00360814,en
ut,238283,0.00352691,en
ge,234830,0.00347581,en
ct,227992,0.00337459,en
ep,221197,0.00327402,en
ow,220519,0.00326398,en
sh,218333,0.00323163,en
ly,218292,0.00323102,en
ew,217486,0.00321909,en
eo,213258,0.00315651,en
we,212487,0.0031451,en
un,211487,0.0031303,en
dt,209030,0.00309393,en
