bigram,frequency,probability
de,691234,0.02282189
es,663203,0.02189642
en,613920,0.02026928
os,506743,0.01673072
as,462517,0.01527055
er,445842,0.01472
el,442823,0.01462033
la,436022,0.01439578
ra,435983,0.0143945
ar,433553,0.01431427
re,403980,0.01333788
ad,380779,0.01257187
al,370270,0.01222491
on,354100,0.01169104
nt,347713,0.01148016
co,340595,0.01124516
an,335612,0.01108064
or,333384,0.01100708
se,329733,0.01088653
ta,323939,0.01069524
te,315076,0.01040262
ci,314135,0.01037155
st,290508,0.00959148
ue,288035,0.00950983
ac,285631,0.00943046
na,260811,0.008611
ca,257158,0.00849039
do,251024,0.00828787
in,242393,0.00800291
to,237159,0.0078301
ne,231202,0.00763342
ro,225340,0.00743988
le,218912,0.00722766
ti,218681,0.00722003
ec,212924,0.00702996
lo,212149,0.00700437
ic,207314,0.00684474
da,204848,0.00676332
sa,199868,0.0065989
qu,197504,0.00652085
nd,195772,0.00646366
pa,194029,0.00640612
ri,193907,0.00640209
ma,193002,0.00637221
po,185962,0.00613978
am,185952,0.00613944
no,184752,0.00609983
od,182810,0.00603571
io,178008,0.00587716
un,176831,0.0058383
sp,176111,0.00581453
si,172300,0.00568871
at,169113,0.00558349
sd,168227,0.00555423
tr,166424,0.00549471
ie,164329,0.00542554
om,162349,0.00536017
ia,160403,0.00529592
me,159795,0.00527584
id,159560,0.00526808
ed,156178,0.00515642
li,155440,0.00513206
nc,152991,0.0050512
sc,149837,0.00494707
is,149289,0.00492898
ol,144362,0.0047663
em,140730,0.00464639
ap,140552,0.00464051
pr,139777,0.00461493
di,137783,0.00454909
so,136552,0.00450845
mo,130791,0.00431824
oc,129552,0.00427734
ea,128973,0.00425822
vi,124197,0.00410053
pe,122160,0.00403328
mi,120148,0.00396685
ee,116784,0.00385579
et,116525,0.00384724
ni,115586,0.00381623
ce,113247,0.00373901
ón,112235,0.0037056
ae,110443,0.00364643
it,108828,0.00359311
op,107109,0.00353636
ió,105427,0.00348082
oe,102337,0.0033788
ll,102008,0.00336794
rt,101506,0.00335137
ep,101106,0.00333816
su,100780,0.0033274
ab,100269,0.00331053
ha,99756,0.00329359
cu,98963,0.00326741
ot,96165,0.00317503
ve,95934,0.0031674
ns,95419,0.0031504
il,87512,0.00288934
ch,85720,0.00283017
ur,85013,0.00280683
eg,83011,0.00274073
ba,81947,0.0027056
tu,78450,0.00259015
mp,77713,0.00256581
im,77656,0.00256393
gr,76741,0.00253372
ga,76377,0.0025217
sm,75776,0.00250186
ss,75764,0.00250147
aa,71390,0.00235705
nl,70173,0.00231687
ct,69794,0.00230436
oa,68530,0.00226263
ex,67430,0.00222631
us,67102,0.00221548
va,65343,0.0021574
ay,65309,0.00215628
ir,64714,0.00213664
ua,63854,0.00210824
ul,63250,0.0020883
br,63037,0.00208127
rs,63033,0.00208114
rm,62579,0.00206615
ev,62557,0.00206542
rd,62433,0.00206133
rc,62431,0.00206126
bi,62428,0.00206116
ag,61516,0.00203105
gu,60451,0.00199589
nu,60285,0.00199041
mu,59954,0.00197948
iv,59894,0.0019775
eo,59890,0.00197737
ho,59522,0.00196522
pu,59293,0.00195766
rn,59223,0.00195535
av,58147,0.00191982
rr,57154,0.00188704
go,56140,0.00185356
za,55232,0.00182358
ui,54277,0.00179205
ob,54100,0.0017862
sl,53638,0.00177095
fi,53569,0.00176867
bl,51925,0.00171439
ng,51871,0.00171261
fo,51213,0.00169089
lt,50234,0.00165856
ía,49849,0.00164585
uc,49575,0.00163681
au,49496,0.0016342
eb,48543,0.00160273
pi,48050,0.00158646
ig,47755,0.00157672
rl,47060,0.00155377
ld,46418,0.00153257
pl,46392,0.00153172
ut,46141,0.00152343
lu,45943,0.00151689
lc,45869,0.00151445
mb,45433,0.00150005
ge,44740,0.00147717
np,44722,0.00147658
ru,44680,0.00147519
be,44668,0.0014748
sy,44620,0.00147321
lp,44148,0.00145763
je,44040,0.00145406
ej,43284,0.0014291
oy,42586,0.00140606
fe,42448,0.0014015
ai,42354,0.0013984
aj,42138,0.00139127
og,41914,0.00138387
du,41811,0.00138047
ef,41392,0.00136664
jo,41381,0.00136627
af,41350,0.00136525
lm,40352,0.0013323
he,40172,0.00132636
vo,40107,0.00132421
hi,39280,0.00129691
eu,39120,0.00129162
sq,37964,0.00125346
ov,37144,0.00122638
ja,36764,0.00121384
cr,36515,0.00120562
ib,36078,0.00119119
ei,36050,0.00119026
ud,35917,0.00118587
of,35465,0.00117095
aq,35152,0.00116062
oq,34671,0.00114473
sh,34565,0.00114123
gi,34372,0.00113486
bo,34363,0.00113457
ya,34090,0.00112555
eh,33841,0.00111733
ás,33733,0.00111377
nf,33731,0.0011137
má,33663,0.00111145
nm,33471,0.00110512
ls,33303,0.00109957
ip,32643,0.00107778
rg,32189,0.00106279
sf,31816,0.00105047
ye,31808,0.00105021
dr,30875,0.00101941
iz,30875,0.00101941
um,30496,0.00100689
ah,30144,0.00099527
rp,30018,0.00099111
fa,29740,0.00098193
sv,29720,0.00098127
sn,29584,0.00097678
ou,29233,0.00096519
nv,28957,0.00095608
bu,28666,0.00094647
rá,28373,0.0009368
cl,28346,0.00093591
sr,27999,0.00092445
ño,27913,0.00092161
eq,27639,0.00091257
añ,27620,0.00091194
fr,27560,0.00090996
ju,27514,0.00090844
oo,27454,0.00090646
sg,27200,0.00089807
fu,27190,0.00089774
ub,26235,0.00086621
ez,25708,0.00084881
sb,25498,0.00084188
cc,25046,0.00082695
rí,24611,0.00081259
up,23885,0.00078862
if,23065,0.00076155
yo,22745,0.00075098
ao,22719,0.00075013
oh,22350,0.00073794
ey,21581,0.00071255
lg,21570,0.00071219
az,21332,0.00070433
rv,21057,0.00069525
án,20076,0.00066286
xo,19902,0.00065712
ys,19823,0.00065451
oi,19220,0.0006346
uj,19208,0.00063421
yc,19012,0.00062774
th,18625,0.00061496
nn,17644,0.00058257
yl,17254,0.00056969
xx,17150,0.00056626
lv,17040,0.00056263
dd,17011,0.00056167
xi,16749,0.00055302
ña,16567,0.00054701
yp,16201,0.00053493
zo,15898,0.00052492
rq,15821,0.00052238
yd,15712,0.00051878
nr,15677,0.00051763
xp,14356,0.00047401
tá,14356,0.00047401
ts,14209,0.00046916
nq,14138,0.00046681
ny,14059,0.00046421
és,13962,0.000461
uy,13869,0.00045793
rb,13767,0.00045457
lr,13593,0.00044882
tt,13533,0.00044684
lf,13518,0.00044634
nb,13426,0.00044331
lí,13023,0.00043
ug,12885,0.00042545
ry,12586,0.00041557
hu,12227,0.00040372
oj,12108,0.00039979
lb,12065,0.00039837
nh,12014,0.00039669
we,11992,0.00039596
ym,11847,0.00039117
én,11613,0.00038345
eñ,11580,0.00038236
pt,11519,0.00038035
nz,11482,0.00037912
gl,11415,0.00037691
rf,11377,0.00037566
ín,10904,0.00036004
lq,10816,0.00035714
ly,10707,0.00035354
dí,10597,0.0003499
yu,10365,0.00034225
íc,10171,0.00033584
xt,10025,0.00033102
tp,9973,0.0003293
tí,9616,0.00031752
ds,9536,0.00031487
ié,9493,0.00031345
