bigram,frequency,probability
ان,433406,0.02164162
ای,393614,0.01965465
را,342271,0.01709091
ار,307611,0.01536021
ها,285948,0.01427849
دا,248586,0.01241287
در,220952,0.011033
با,218095,0.01089034
ین,210165,0.01049437
یا,208530,0.01041273
ند,204866,0.01022977
ما,201576,0.01006549
ست,197127,0.00984333
ام,186198,0.00929761
ید,185708,0.00927314
از,182431,0.00910951
ری,178748,0.0089256
اس,168351,0.00840644
می,166807,0.00832934
رد,160471,0.00801296
به,155605,0.00776998
اد,154473,0.00771346
وا,150919,0.00753599
نا,148572,0.0074188
رو,144784,0.00722965
ود,138837,0.0069327
ال,138791,0.0069304
تا,137797,0.00688076
ده,135193,0.00675074
ور,134867,0.00673446
بر,134626,0.00672242
نی,133070,0.00664473
یم,132640,0.00662326
یر,123819,0.00618279
اب,123413,0.00616252
لا,122387,0.00611129
یک,120812,0.00603264
هم,117463,0.00586541
سا,114522,0.00571856
دی,113944,0.0056897
ات,105221,0.00525412
تو,103207,0.00515356
لی,101439,0.00506527
یت,98672,0.00492711
اه,96566,0.00482195
یب,96310,0.00480916
دو,95710,0.0047792
تر,95598,0.00477361
مو,94162,0.00470191
رم,90747,0.00453138
نه,87143,0.00435142
نم,86830,0.00433579
ون,85369,0.00426284
کا,83565,0.00417276
که,81915,0.00409037
وی,80325,0.00401097
نو,80011,0.0039953
هب,79951,0.0039923
زا,79625,0.00397602
یش,79575,0.00397352
هد,78412,0.00391545
سی,75940,0.00379202
ته,74485,0.00371936
یو,73008,0.00364561
رس,71813,0.00358594
اش,71399,0.00356527
رب,68965,0.00344373
تی,68161,0.00340358
یس,67808,0.00338595
نب,67676,0.00337936
شد,67274,0.00335929
بی,66804,0.00333582
ره,66213,0.00330631
تم,66102,0.00330077
کن,65547,0.00327305
زی,64863,0.0032389
هر,64837,0.0032376
او,63187,0.00315521
نت,62772,0.00313449
هن,60460,0.00301904
خو,60310,0.00301155
مر,60274,0.00300975
دم,60251,0.00300861
رت,59890,0.00299058
دن,59849,0.00298853
یه,59706,0.00298139
نگ,59328,0.00296252
مه,59138,0.00295303
ول,59129,0.00295258
من,57880,0.00289021
گر,57736,0.00288302
وم,57134,0.00285296
یل,56051,0.00279888
دب,55888,0.00279074
تب,55089,0.00275085
مت,55040,0.0027484
شت,54932,0.00274301
شا,54886,0.00274071
وز,54882,0.00274051
کر,54085,0.00270071
فر,54082,0.00270056
وب,53639,0.00267844
لو,53429,0.00266796
اف,52560,0.00262457
یی,52497,0.00262142
گا,52356,0.00261438
مد,51807,0.00258697
رن,51100,0.00255166
رک,50722,0.00253279
شو,50517,0.00252255
هو,49552,0.00247436
فت,47484,0.0023711
هه,46819,0.0023379
جا,46224,0.00230819
هی,46158,0.00230489
زم,44953,0.00224472
وس,44785,0.00223633
دک,44755,0.00223483
بو,44541,0.00222415
تن,44134,0.00220382
قا,43861,0.00219019
وش,43859,0.00219009
فا,42642,0.00212932
رش,42058,0.00210016
نن,41930,0.00209377
نش,41886,0.00209157
نک,41794,0.00208698
دد,40880,0.00204134
رف,40845,0.00203959
یز,40583,0.00202651
اع,40298,0.00201228
اا,39975,0.00199615
هت,39640,0.00197942
نس,39418,0.00196834
اک,39042,0.00194956
لم,38961,0.00194552
شی,38483,0.00192165
گی,38289,0.00191196
یگ,37884,0.00189174
خا,37163,0.00185574
عا,36868,0.00184101
نر,36808,0.00183801
له,36619,0.00182857
دس,36618,0.00182852
شن,35775,0.00178643
کی,35758,0.00178558
آن,35310,0.00176321
اخ,35309,0.00176316
سر,35119,0.00175367
هش,34862,0.00174084
هس,34486,0.00172206
وت,33733,0.00168446
تک,33538,0.00167473
شم,33529,0.00167428
شه,33478,0.00167173
پا,33450,0.00167033
لب,33435,0.00166958
مب,33398,0.00166774
مع,33007,0.00164821
مل,32712,0.00163348
رگ,32546,0.00162519
تد,32311,0.00161346
هک,31749,0.0015854
فی,31720,0.00158395
اق,31008,0.00154839
مس,30845,0.00154026
وه,30179,0.001507
پی,30122,0.00150415
یخ,29960,0.00149606
اح,29583,0.00147724
خت,29443,0.00147025
بل,29413,0.00146875
شر,29273,0.00146176
کت,29272,0.00146171
زن,29058,0.00145102
دت,28988,0.00144753
نج,28391,0.00141772
مش,28296,0.00141297
پر,27944,0.0013954
سو,27811,0.00138876
مح,27760,0.00138621
کو,27546,0.00137552
زد,27177,0.0013571
مک,26824,0.00133947
قی,26716,0.00133408
اي,26682,0.00133238
شک,26558,0.00132619
رخ,26419,0.00131925
یف,26343,0.00131545
زش,26234,0.00131001
حا,26198,0.00130821
رز,25844,0.00129054
تخ,24881,0.00124245
کم,24804,0.00123861
نل,24626,0.00122972
آم,24540,0.00122542
تف,24461,0.00122148
سب,24422,0.00121953
یج,24342,0.00121554
گو,24323,0.00121459
صو,24285,0.00121269
جه,24243,0.00121059
اج,24229,0.00120989
کل,24054,0.00120116
مم,23970,0.00119696
یپ,23958,0.00119636
عل,23743,0.00118563
لت,23649,0.00118093
وج,23502,0.00117359
بت,23452,0.0011711
بد,23082,0.00115262
تش,22912,0.00114413
جو,22803,0.00113869
رر,22526,0.00112486
دگ,22440,0.00112056
کس,22203,0.00110873
سن,21986,0.00109789
عم,21679,0.00108256
طر,21512,0.00107422
یق,21446,0.00107093
رج,21273,0.00106229
کش,21170,0.00105715
سم,20964,0.00104686
زه,20777,0.00103752
عی,20528,0.00102509
یع,20398,0.0010186
عد,20374,0.0010174
یآ,20154,0.00100641
سل,19935,0.00099548
جم,19928,0.00099513
نف,19816,0.00098954
اط,19679,0.0009827
تع,19666,0.00098205
نق,19614,0.00097945
خر,19596,0.00097855
رح,19554,0.00097645
زب,19552,0.00097635
سه,19385,0.00096801
اص,19352,0.00096637
عت,19132,0.00095538
تل,19064,0.00095199
وع,19032,0.00095039
تق,18948,0.00094619
دل,18714,0.00093451
رآ,18544,0.00092602
بن,18512,0.00092442
دش,18472,0.00092243
مج,18454,0.00092153
بس,18426,0.00092013
تح,18177,0.00090769
صا,18053,0.0009015
هآ,17479,0.00087284
قر,17363,0.00086705
وک,17307,0.00086425
نظ,17227,0.00086026
شب,17084,0.00085312
تص,16993,0.00084857
هف,16862,0.00084203
مق,16842,0.00084103
لک,16786,0.00083824
تت,16774,0.00083764
اپ,16753,0.00083659
هخ,16670,0.00083244
قد,16440,0.00082096
اگ,16060,0.00080199
وق,15984,0.00079819
ين,15957,0.00079684
جد,15824,0.0007902
رق,15727,0.00078536
لد,15631,0.00078056
نخ,15552,0.00077662
يا,15509,0.00077447
خب,15441,0.00077108
حم,15438,0.00077093
هگ,15357,0.00076688
دآ,15306,0.00076434
تس,15278,0.00076294
لس,15162,0.00075714
مخ,15138,0.00075595
چه,15095,0.0007538
عه,14924,0.00074526
شگ,14903,0.00074421
تگ,14747,0.00073642
زر,14736,0.00073587
جر,14660,0.00073208
زو,14539,0.00072604
دف,14535,0.00072584
گز,14533,0.00072574
پو,14523,0.00072524
عر,14384,0.0007183
ضا,14234,0.00071081
وپ,14232,0.00071071
هپ,14184,0.00070831
خص,13775,0.00068789
وف,13761,0.00068719
نع,13595,0.0006789
خی,13505,0.0006744
بع,13360,0.00066716
تج,13195,0.00065893
ظر,13163,0.00065733
حی,13135,0.00065593
هز,13050,0.00065168
طل,13038,0.00065109
بخ,13011,0.00064974
قت,12982,0.00064829
هع,12980,0.00064819
صل,12956,0.00064699
فو,12954,0.00064689
یح,12912,0.00064479
رپ,12861,0.00064225
مي,12829,0.00064065
گف,12706,0.00063451
فز,12620,0.00063021
نآ,12577,0.00062807
ذا,12549,0.00062667
قب,12334,0.00061593
