bigram,frequency,probability
es,631343,0.02577595
en,441460,0.01802357
le,439454,0.01794168
de,435601,0.01778437
re,407051,0.01661875
on,405024,0.016536
nt,358643,0.0146424
er,338300,0.01381185
te,301606,0.01231374
ou,296216,0.01209368
an,283660,0.01158106
ur,271589,0.01108823
ti,259342,0.01058822
se,251958,0.01028676
el,246150,0.01004963
la,246079,0.01004673
et,242685,0.00990817
is,229427,0.00936688
in,223937,0.00914274
ne,219054,0.00894338
me,206143,0.00841626
ed,202465,0.0082661
ai,197873,0.00807862
ar,196918,0.00803963
ra,190960,0.00779638
co,190397,0.0077734
ec,187845,0.00766921
it,187792,0.00766704
em,186646,0.00762026
ns,185834,0.00758711
qu,183147,0.0074774
st,181838,0.00742396
ce,173109,0.00706758
tr,172992,0.0070628
at,170924,0.00697837
ss,168875,0.00689472
ie,168541,0.00688108
sa,160316,0.00654528
ue,159090,0.00649522
ri,157519,0.00643109
io,156035,0.0063705
eu,155357,0.00634282
ta,152573,0.00622915
nd,149831,0.00611721
il,148876,0.00607822
ep,147976,0.00604147
li,144660,0.00590609
us,143393,0.00585436
pa,142996,0.00583815
ma,142368,0.00581251
al,140942,0.00575429
si,140604,0.0057405
au,140379,0.00573131
po,140044,0.00571763
sd,138833,0.00566819
un,135429,0.00552921
ro,134767,0.00550219
or,131000,0.00534839
ve,127198,0.00519317
ch,126522,0.00516557
so,126012,0.00514475
pr,123559,0.0050446
nc,123447,0.00504002
sp,122174,0.00498805
ir,115282,0.00470667
ll,114194,0.00466225
ea,108413,0.00442623
as,105439,0.00430481
ac,104723,0.00427558
ui,103952,0.0042441
rs,102566,0.00418751
na,102395,0.00418053
oi,101854,0.00415844
rt,101007,0.00412386
ut,99736,0.00407197
su,99027,0.00404303
to,96557,0.00394218
om,96421,0.00393663
sc,95065,0.00388127
di,93623,0.0038224
ts,90870,0.00371
da,90464,0.00369342
no,89623,0.00365909
pe,89384,0.00364933
ee,88779,0.00362463
du,87409,0.0035687
ge,86391,0.00352714
ca,86369,0.00352624
té,84061,0.00343201
lo,83919,0.00342621
td,83513,0.00340963
ic,82273,0.00335901
vo,81630,0.00333276
sl,80782,0.00329814
ni,80708,0.00329511
ré,80136,0.00327176
rl,79211,0.003234
av,77323,0.00315692
ap,76989,0.00314328
nn,71972,0.00293845
vi,71899,0.00293547
pl,71874,0.00293445
mo,71698,0.00292726
rd,70642,0.00288415
ag,69973,0.00285684
mi,68836,0.00281042
tu,68617,0.00280147
he,68398,0.00279253
am,67416,0.00275244
ci,65994,0.00269438
ev,64131,0.00261832
ct,64098,0.00261698
ha,63747,0.00260265
os,63378,0.00258758
tt,62616,0.00255647
lu,59943,0.00244734
dé,59752,0.00243954
tl,58647,0.00239443
ot,57980,0.0023672
ol,57615,0.00235229
ée,57471,0.00234642
ef,57449,0.00234552
bl,57358,0.0023418
rc,57146,0.00233315
ul,56877,0.00232216
mp,56356,0.00230089
im,56350,0.00230065
mm,55856,0.00228048
ei,53497,0.00218417
fi,53305,0.00217633
fa,53229,0.00217323
tp,52939,0.00216139
és,51886,0.0021184
iq,51694,0.00211056
rm,51212,0.00209088
do,50059,0.0020438
va,49912,0.0020378
id,49511,0.00202143
ad,49384,0.00201625
ng,48744,0.00199012
fo,48505,0.00198036
iv,48165,0.00196648
ia,48096,0.00196366
ux,47665,0.00194606
sm,47168,0.00192577
ér,46643,0.00190434
ab,46445,0.00189626
éc,44628,0.00182207
ét,43623,0.00178104
eb,42937,0.00175303
uc,42738,0.00174491
oc,42443,0.00173287
rr,41929,0.00171188
uv,41829,0.0017078
ho,41176,0.00168114
ru,40140,0.00163884
gr,39735,0.00162231
sé,39471,0.00161153
bo,39348,0.00160651
je,39057,0.00159463
np,39029,0.00159348
tc,38399,0.00156776
up,38076,0.00155457
cu,37245,0.00152065
op,37133,0.00151607
ba,36606,0.00149456
br,36104,0.00147406
cl,35784,0.001461
ga,35783,0.00146096
éd,35400,0.00144532
ig,35342,0.00144295
bi,35165,0.00143573
um,34825,0.00142184
cr,34360,0.00140286
ex,34233,0.00139768
fr,34197,0.00139621
nf,33427,0.00136477
be,33412,0.00136416
ud,33344,0.00136138
th,33027,0.00134844
né,32824,0.00134015
rn,32764,0.0013377
ez,32699,0.00133505
if,32053,0.00130867
lé,31838,0.00129989
sr,31570,0.00128895
él,31499,0.00128605
eq,31160,0.00127221
hi,30646,0.00125123
sq,30575,0.00124833
fe,30382,0.00124045
pi,30342,0.00123882
eg,30223,0.00123396
ff,30138,0.00123049
sf,29918,0.00122151
pp,29810,0.0012171
mb,29743,0.00121436
od,29731,0.00121387
dr,29629,0.00120971
ls,29450,0.0012024
ip,28798,0.00117578
ép,28556,0.0011659
ua,28479,0.00116276
rp,27894,0.00113887
eà,27706,0.0011312
gi,27534,0.00112417
rv,25661,0.00104771
jo,25642,0.00104693
af,25522,0.00104203
nu,25442,0.00103876
rg,25369,0.00103578
nv,25208,0.00102921
gn,24973,0.00101962
sv,24553,0.00100247
sn,24463,0.00099879
nl,24113,0.0009845
àl,24110,0.00098438
ej,23973,0.00097879
sb,23969,0.00097863
eo,23496,0.00095931
mé,23184,0.00094658
pu,23094,0.0009429
ub,22831,0.00093216
ob,22783,0.0009302
ib,22715,0.00092743
èr,22194,0.00090616
cc,22097,0.0009022
sh,21782,0.00088934
pt,21603,0.00088203
og,21310,0.00087007
vr,21071,0.00086031
nm,20381,0.00083214
ph,20277,0.00082789
tm,20213,0.00082528
iè,20047,0.0008185
of,19846,0.0008103
ég,19530,0.00079739
ja,19144,0.00078163
ld,18914,0.00077224
sà,18863,0.00077016
gu,18789,0.00076714
lt,18400,0.00075126
pé,18207,0.00074338
ès,18010,0.00073534
mu,17831,0.00072803
êt,17765,0.00072533
éa,17100,0.00069818
rè,16540,0.00067532
ém,16357,0.00066785
nr,16197,0.00066132
év,16078,0.00065646
én,15790,0.0006447
ya,15578,0.00063605
xp,15551,0.00063494
go,15550,0.0006349
eh,15546,0.00063474
ay,14988,0.00061196
bu,14561,0.00059452
ps,14497,0.00059191
sg,14302,0.00058395
ju,14212,0.00058028
tà,14027,0.00057272
ié,13965,0.00057019
rf,13846,0.00056533
oo,13634,0.00055668
rb,13628,0.00055643
xe,13502,0.00055129
sj,13116,0.00053553
ys,13100,0.00053488
tq,12950,0.00052875
gé,12925,0.00052773
oy,12623,0.0005154
ye,12590,0.00051405
tv,12414,0.00050687
ix,12384,0.00050564
tf,12260,0.00050058
tb,12112,0.00049454
nb,12090,0.00049364
ds,11982,0.00048923
uf,11768,0.00048049
hé,11622,0.00047453
rq,11381,0.00046469
gl,11349,0.00046339
tn,11347,0.00046331
ke,11332,0.00046269
ly,11314,0.00046196
ov,11088,0.00045273
ug,11054,0.00045134
vé,10957,0.00044738
uj,10621,0.00043367
fl,10390,0.00042423
éf,10296,0.0004204
lp,10285,0.00041995
nq,10122,0.00041329
cé,10075,0.00041137
sy,10054,0.00041052
lc,10029,0.0004095
eé,9948,0.00040619
lm,9917,0.00040492
fé,9842,0.00040186
ck,9775,0.00039913
xi,9666,0.00039468
xd,9527,0.000389
xt,9479,0.00038704
ew,9438,0.00038537
aa,9230,0.00037688
aq,9224,0.00037663
ué,9123,0.00037251
xc,9028,0.00036863
hu,8872,0.00036226
ki,8770,0.00035809
cs,8674,0.00035418
tj,8648,0.00035311
ty,8542,0.00034879
ae,8481,0.0003463
nj,8330,0.00034013
àc,8243,0.00033658
rà,8064,0.00032927
èm,8063,0.00032923
àp,7992,0.00032633
fu,7841,0.00032017
lh,7739,0.000316
ça,7646,0.0003122
we,7597,0.0003102
éq,7584,0.00030967
êm,7561,0.00030873
cd,7556,0.00030853
ôt,7513,0.00030677
ht,7481,0.00030547
dd,7452,0.00030428
xa,7353,0.00030024
wi,7337,0.00029959
aj,7294,0.00029783
yp,7252,0.00029612
mê,7154,0.00029212
ms,7140,0.00029155
wa,7118,0.00029065
nh,7110,0.00029032
oe,7104,0.00029008
uo,7097,0.00028979
éb,7010,0.00028624
ow,6947,0.00028367
yo,6725,0.0002746
pd,6688,0.00027309
dh,6630,0.00027072
ry,6606,0.00026974
oa,6584,0.00026885
tg,6531,0.00026668
yl,6356,0.00025954
lf,6350,0.00025929
sk,6268,0.00025595
fs,6236,0.00025464
ka,6195,0.00025296
ln,6128,0.00025023
ey,6109,0.00024945
lè,6090,0.00024868
éo,6013,0.00024553
àd,5928,0.00024206
md,5903,0.00024104
ah,5829,0.00023802
df,5828,0.00023798
ek,5766,0.00023545
rk,5721,0.00023361
rj,5700,0.00023276
yc,5693,0.00023247
ok,5648,0.00023063
lq,5605,0.00022888
ii,5560,0.00022704
ze,5518,0.00022532
cv,5518,0.00022532
às,5446,0.00022239
dc,5427,0.00022161
dm,5424,0.00022149
àm,5411,0.00022096
tê,5407,0.00022079
za,5400,0.00022051
rê,5398,0.00022043
zl,5377,0.00021957
ao,5361,0.00021891
rh,5348,0.00021838
hr,5316,0.00021708
bé,5208,0.00021267
ij,5167,0.00021099
ny,5099,0.00020822
éj,5091,0.00020789
ak,5087,0.00020773
cm,5080,0.00020744
gs,5050,0.00020622
lv,4995,0.00020397
ww,4956,0.00020238
là,4938,0.00020165
vu,4923,0.00020103
cp,4907,0.00020038
dp,4880,0.00019928
nç,4869,0.00019883
az,4869,0.00019883
dl,4861,0.0001985
aé,4831,0.00019728
iu,4815,0.00019662
àt,4808,0.00019634
lg,4780,0.00019519
ik,4764,0.00019454
nà,4744,0.00019372
uu,4697,0.00019181
lb,4690,0.00019152
ym,4660,0.0001903
sw,4581,0.00018707
hn,4576,0.00018687
km,4574,0.00018678
xs,4504,0.00018393
zv,4480,0.00018295
bs,4451,0.00018176
hy,4420,0.0001805
ax,4354,0.0001778
àv,4306,0.00017584
xm,4302,0.00017568
tè,4280,0.00017478
éu,4232,0.00017282
éà,4175,0.00017049
ml,4174,0.00017045
hô,4162,0.00016996
gh,4129,0.00016862
ko,4094,0.00016719
oj,4087,0.0001669
zo,4068,0.00016613
aî,3956,0.00016155
àu,3886,0.00015869
èt,3846,0.00015706
mc,3839,0.00015678
xl,3833,0.00015653
ft,3828,0.00015633
yr,3755,0.00015335
zi,3706,0.00015135
dt,3674,0.00015004
pc,3630,0.00014824
lr,3623,0.00014796
wo,3592,0.00014669
nk,3591,0.00014665
oq,3591,0.00014665
yn,3562,0.00014547
dè,3552,0.00014506
ox,3507,0.00014322
zd,3485,0.00014232
èc,3479,0.00014208
uà,3430,0.00014008
tw,3418,0.00013959
fd,3388,0.00013836
ît,3360,0.00013722
gt,3337,0.00013628
ks,3329,0.00013595
yt,3328,0.00013591
gm,3302,0.00013485
zp,3295,0.00013457
ât,3285,0.00013416
by,3273,0.00013367
mè,3234,0.00013208
où,3223,0.00013163
cè,3218,0.00013142
yd,3218,0.00013142
db,3172,0.00012954
iz,3171,0.0001295
uh,3132,0.00012791
àh,3124,0.00012758
àa,3113,0.00012714
ço,3107,0.00012689
hm,3029,0.00012371
éi,2986,0.00012195
ws,2943,0.00012019
gp,2940,0.00012007
gd,2928,0.00011958
oû,2919,0.00011922
ût,2911,0.00011889
hp,2911,0.00011889
zu,2900,0.00011844
cy,2888,0.00011795
uq,2880,0.00011762
èg,2863,0.00011693
hè,2862,0.00011689
oh,2840,0.00011599
fc,2790,0.00011395
èl,2782,0.00011362
èn,2771,0.00011317
mn,2754,0.00011248
àb,2743,0.00011203
cb,2738,0.00011183
àr,2735,0.0001117
dg,2729,0.00011146
bj,2700,0.00011027
my,2661,0.00010868
bd,2619,0.00010697
dv,2604,0.00010635
bt,2569,0.00010493
cq,2531,0.00010337
dy,2521,0.00010297
cn,2519,0.00010288
hl,2479,0.00010125
dj,2479,0.00010125
àn,2439,9.962e-05
rw,2426,9.909e-05
gc,2423,9.896e-05
xq,2403,9.815e-05
àf,2374,9.696e-05
xf,2372,9.688e-05
aw,2365,9.66e-05
mt,2364,9.656e-05
gg,2346,9.582e-05
bb,2326,9.5e-05
pm,2309,9.431e-05
hs,2271,9.276e-05
xo,2260,9.231e-05
àe,2242,9.158e-05
rô,2225,9.088e-05
ôl,2221,9.072e-05
fp,2209,9.023e-05
hd,2180,8.904e-05
âc,2175,8.884e-05
dn,2172,8.872e-05
nw,2157,8.81e-05
cf,2156,8.806e-05
àj,2138,8.733e-05
yb,2136,8.725e-05
nz,2122,8.668e-05
zc,2088,8.529e-05
xr,2084,8.512e-05
eç,2068,8.447e-05
cô,2060,8.414e-05
ià,2052,8.382e-05
jà,2038,8.325e-05
wh,2033,8.304e-05
xv,2027,8.28e-05
wn,1977,8.076e-05
xb,1962,8.014e-05
uy,1951,7.969e-05
xé,1946,7.949e-05
mr,1939,7.92e-05
tz,1935,7.904e-05
mg,1882,7.688e-05
pè,1877,7.667e-05
tô,1853,7.569e-05
èv,1850,7.557e-05
bc,1847,7.545e-05
éh,1845,7.537e-05
hc,1828,7.467e-05
zs,1822,7.443e-05
kl,1817,7.422e-05
aç,1809,7.39e-05
œu,1805,7.373e-05
yv,1802,7.361e-05
pg,1784,7.288e-05
sê,1784,7.288e-05
mf,1778,7.263e-05
xn,1754,7.165e-05
lk,1733,7.079e-05
gb,1730,7.067e-05
ih,1714,7.002e-05
mh,1694,6.92e-05
râ,1689,6.9e-05
pn,1679,6.859e-05
yé,1666,6.806e-05
ji,1663,6.794e-05
lj,1638,6.692e-05
éé,1628,6.651e-05
uk,1616,6.602e-05
yg,1615,6.598e-05
uz,1606,6.561e-05
kr,1600,6.536e-05
oz,1581,6.459e-05
kc,1574,6.43e-05
dw,1564,6.389e-05
xu,1563,6.385e-05
vc,1540,6.291e-05
pw,1532,6.259e-05
yi,1515,6.189e-05
gè,1511,6.173e-05
fm,1480,6.046e-05
wc,1477,6.034e-05
gy,1472,6.014e-05
vd,1447,5.912e-05
pv,1439,5.879e-05
xx,1439,5.879e-05
pb,1437,5.871e-05
kt,1431,5.846e-05
àk,1425,5.822e-05
py,1422,5.81e-05
yf,1416,5.785e-05
kh,1404,5.736e-05
ku,1400,5.72e-05
çu,1382,5.646e-05
vp,1378,5.63e-05
aï,1367,5.585e-05
fb,1333,5.446e-05
zn,1333,5.446e-05
în,1325,5.414e-05
vs,1324,5.41e-05
mv,1320,5.393e-05
bp,1302,5.32e-05
hâ,1301,5.316e-05
zm,1300,5.312e-05
cg,1293,5.283e-05
sx,1278,5.222e-05
xh,1278,5.222e-05
kp,1270,5.189e-05
kd,1262,5.156e-05
tk,1259,5.144e-05
ôm,1256,5.132e-05
wr,1243,5.079e-05
hh,1237,5.054e-05
zz,1231,5.03e-05
âg,1229,5.022e-05
ky,1224,5.001e-05
zt,1221,4.989e-05
hb,1220,4.985e-05
gf,1218,4.977e-05
dê,1215,4.965e-05
mw,1208,4.936e-05
rç,1200,4.903e-05
pf,1191,4.867e-05
xy,1188,4.854e-05
bm,1165,4.76e-05
xj,1164,4.756e-05
jp,1164,4.756e-05
hf,1154,4.716e-05
àg,1152,4.707e-05
sz,1151,4.703e-05
aà,1151,4.703e-05
wp,1141,4.662e-05
kn,1123,4.589e-05
bn,1106,4.52e-05
nê,1100,4.495e-05
sè,1096,4.479e-05
xg,1080,4.413e-05
px,1080,4.413e-05
tx,1078,4.405e-05
yu,1055,4.311e-05
ào,1053,4.303e-05
cj,1042,4.258e-05
ël,1039,4.246e-05
kg,1037,4.238e-05
vê,1022,4.177e-05
àq,1022,4.177e-05
uê,1000,4.087e-05
èd,999,4.083e-05
ûr,994,4.062e-05
jé,988,4.038e-05
xà,987,4.034e-05
yh,981,4.009e-05
kb,977,3.993e-05
rz,971,3.968e-05
mj,967,3.952e-05
lw,950,3.883e-05
yw,944,3.858e-05
zr,935,3.821e-05
rx,929,3.797e-05
fn,927,3.789e-05
ùl,917,3.748e-05
zb,912,3.728e-05
vl,911,3.723e-05
nx,911,3.723e-05
pê,909,3.715e-05
nè,905,3.699e-05
sû,902,3.687e-05
bâ,898,3.67e-05
ài,889,3.634e-05
vm,882,3.605e-05
zà,862,3.523e-05
kf,857,3.503e-05
zé,848,3.466e-05
dà,847,3.462e-05
gv,846,3.458e-05
êc,837,3.421e-05
gw,828,3.385e-05
zf,826,3.376e-05
bf,819,3.348e-05
wt,795,3.25e-05
wl,795,3.25e-05
cà,792,3.238e-05
wd,792,3.238e-05
fê,787,3.217e-05
oé,787,3.217e-05
fg,772,3.156e-05
vè,770,3.148e-05
îl,767,3.136e-05
uw,761,3.111e-05
oë,757,3.095e-05
èq,752,3.074e-05
wy,745,3.046e-05
dq,745,3.046e-05
wf,741,3.029e-05
àé,735,3.005e-05
vt,730,2.984e-05
hw,724,2.96e-05
vn,724,2.96e-05
zq,723,2.956e-05
qa,720,2.944e-05
fh,719,2.94e-05
tç,716,2.927e-05
yj,712,2.911e-05
js,709,2.899e-05
pô,705,2.882e-05
lâ,705,2.882e-05
êv,700,2.862e-05
wm,699,2.858e-05
fv,687,2.809e-05
hv,681,2.784e-05
iy,680,2.78e-05
yk,673,2.752e-05
bv,673,2.752e-05
lx,667,2.727e-05
oî,662,2.707e-05
zy,660,2.699e-05
hg,658,2.691e-05
kk,648,2.65e-05
cœ,637,2.605e-05
vf,632,2.584e-05
iw,625,2.556e-05
hj,624,2.552e-05
hà,623,2.548e-05
mx,612,2.503e-05
wb,603,2.466e-05
pj,599,2.45e-05
kw,589,2.409e-05
oï,587,2.401e-05
zh,586,2.397e-05
pâ,578,2.364e-05
ôn,578,2.364e-05
sç,574,2.348e-05
oà,569,2.327e-05
lô,564,2.307e-05
mk,564,2.307e-05
cw,563,2.303e-05
vg,541,2.213e-05
gk,527,2.156e-05
fy,522,2.135e-05
qp,521,2.131e-05
fj,519,2.123e-05
mq,512,2.094e-05
fq,511,2.09e-05
vb,508,2.078e-05
bg,506,2.07e-05
bh,499,2.041e-05
dk,495,2.025e-05
hk,495,2.025e-05
kv,487,1.992e-05
nœ,484,1.98e-05
jc,481,1.968e-05
xw,477,1.952e-05
zg,474,1.939e-05
ké,473,1.935e-05
lz,472,1.931e-05
èb,457,1.87e-05
eè,452,1.849e-05
vy,452,1.849e-05
ùi,452,1.849e-05
wg,450,1.841e-05
gj,447,1.829e-05
fw,443,1.813e-05
fx,436,1.784e-05
fè,434,1.776e-05
kj,434,1.776e-05
gx,432,1.768e-05
mà,429,1.756e-05
aë,429,1.756e-05
pk,425,1.739e-05
pq,421,1.723e-05
yq,419,1.715e-05
éz,408,1.67e-05
wv,399,1.633e-05
hq,394,1.613e-05
gâ,392,1.605e-05
uè,389,1.592e-05
vv,387,1.584e-05
jm,387,1.584e-05
tâ,384,1.572e-05
sâ,383,1.568e-05
câ,375,1.535e-05
qs,374,1.531e-05
cx,374,1.531e-05
zj,373,1.527e-05
yà,372,1.523e-05
vw,368,1.507e-05
gq,363,1.486e-05
jd,360,1.474e-05
fà,359,1.47e-05
xk,353,1.445e-05
éâ,353,1.445e-05
qc,350,1.433e-05
qr,344,1.409e-05
dû,343,1.404e-05
ïd,343,1.404e-05
âb,342,1.4e-05
ék,340,1.392e-05
fk,339,1.388e-05
jk,335,1.372e-05
êl,333,1.364e-05
wu,328,1.343e-05
xz,324,1.327e-05
wq,323,1.323e-05
jl,321,1.315e-05
dx,320,1.311e-05
yy,320,1.311e-05
cz,319,1.306e-05
sœ,314,1.286e-05
gà,314,1.286e-05
mâ,314,1.286e-05
vh,313,1.282e-05
âm,312,1.278e-05
wx,311,1.274e-05
jr,304,1.245e-05
bw,301,1.233e-05
yx,301,1.233e-05
zw,293,1.2e-05
âl,292,1.196e-05
îc,285,1.168e-05
ql,281,1.151e-05
eê,280,1.147e-05
qt,278,1.139e-05
lî,275,1.127e-05
qd,271,1.11e-05
qw,270,1.106e-05
ûl,268,1.098e-05
ôp,268,1.098e-05
bk,268,1.098e-05
yz,266,1.09e-05
mz,264,1.082e-05
vj,253,1.037e-05
rû,253,1.037e-05
jn,253,1.037e-05
ïs,253,1.037e-05
aè,252,1.033e-05
ên,252,1.033e-05
hz,250,1.025e-05
dz,246,1.008e-05
eâ,241,9.88e-06
jy,241,9.88e-06
bè,241,9.88e-06
qe,240,9.84e-06
qm,240,9.84e-06
îm,238,9.76e-06
bê,236,9.68e-06
kx,235,9.64e-06
ùv,234,9.59e-06
wk,234,9.59e-06
ùe,234,9.59e-06
qx,231,9.47e-06
bq,230,9.43e-06
wj,228,9.35e-06
qi,228,9.35e-06
nî,227,9.31e-06
nâ,227,9.31e-06
vq,225,9.23e-06
àà,225,9.23e-06
jf,224,9.19e-06
ït,224,9.19e-06
pà,223,9.15e-06
gz,220,9.02e-06
iç,219,8.98e-06
ùs,219,8.98e-06
jt,218,8.94e-06
éç,215,8.82e-06
bx,212,8.7e-06
àw,208,8.53e-06
qf,204,8.37e-06
aê,204,8.37e-06
qq,203,8.33e-06
ür,202,8.29e-06
œi,201,8.25e-06
jj,200,8.21e-06
zk,199,8.17e-06
jh,198,8.12e-06
qv,195,8e-06
jv,191,7.84e-06
qb,189,7.76e-06
fü,189,7.76e-06
ïq,188,7.72e-06
dî,185,7.59e-06
ïl,185,7.59e-06
sî,184,7.55e-06
zx,181,7.43e-06
gî,181,7.43e-06
qz,180,7.39e-06
jb,179,7.35e-06
dœ,178,7.31e-06
kq,173,7.1e-06
àê,173,7.1e-06
pz,173,7.1e-06
rã,173,7.1e-06
hx,172,7.06e-06
lœ,171,7.02e-06
oè,169,6.94e-06
ùj,168,6.9e-06
vx,168,6.9e-06
