bigram,frequency,probability
ます,135958,0.00529303
して,131430,0.00511675
って,129718,0.0050501
てい,123582,0.00481122
です,121772,0.00474075
した,115765,0.00450689
ない,87651,0.00341238
った,85861,0.0033427
から,76105,0.00296289
する,75280,0.00293077
こと,71971,0.00280195
ので,66069,0.00257217
いま,65804,0.00256186
まし,60776,0.00236611
いる,59659,0.00232263
りま,58627,0.00228245
ット,54866,0.00213603
ック,53395,0.00207876
とい,49021,0.00190848
いう,48505,0.00188839
しま,47388,0.0018449
ある,44216,0.00172141
いた,42911,0.00167061
ると,42444,0.00165243
にな,41623,0.00162047
よう,40961,0.00159469
イン,40623,0.00158153
あり,40386,0.00157231
るの,40204,0.00156522
では,39112,0.00152271
いて,37889,0.0014751
され,37726,0.00146875
さん,35974,0.00140054
ング,34980,0.00136185
でき,34945,0.00136048
れて,33980,0.00132292
すが,33743,0.00131369
ント,32724,0.00127402
るこ,32631,0.0012704
には,32102,0.0012498
があ,31568,0.00122901
れる,31105,0.00121099
んで,31051,0.00120889
ラン,30847,0.00120095
その,30592,0.00119102
でも,30370,0.00118237
この,28635,0.00111483
ても,28319,0.00110253
いと,28242,0.00109953
たい,27694,0.0010782
しい,27470,0.00106947
スト,27381,0.00106601
でし,27253,0.00106103
なっ,27208,0.00105927
など,27073,0.00105402
いで,27051,0.00105316
イト,27033,0.00105246
と思,26509,0.00103206
年月,26452,0.00102984
ンド,26434,0.00102914
ショ,26162,0.00101855
とし,26152,0.00101816
たの,26143,0.00101781
ませ,26084,0.00101552
いの,25844,0.00100617
ライ,25595,0.00099648
月日,25064,0.00097581
なり,25049,0.00097522
せん,24916,0.00097004
もの,24615,0.00095833
きま,24247,0.000944
ップ,23329,0.00090826
サイ,23315,0.00090772
だけ,23061,0.00089783
れた,22820,0.00088845
まで,22449,0.000874
なる,22398,0.00087202
であ,22242,0.00086594
ディ,22195,0.00086411
かっ,21848,0.0008506
それ,21525,0.00083803
られ,21525,0.00083803
なく,21419,0.0008339
スタ,20655,0.00080416
そう,20374,0.00079322
とは,20308,0.00079065
ブラ,20270,0.00078917
ティ,19787,0.00077037
のは,19611,0.00076352
かな,19488,0.00075873
しょ,19351,0.00075339
ょう,19259,0.00074981
ョン,19138,0.0007451
メン,19067,0.00074234
とが,19007,0.00074
てお,18638,0.00072564
無料,18636,0.00072556
うに,18584,0.00072353
うな,18471,0.00071913
なの,18107,0.00070496
てく,17965,0.00069944
ため,17898,0.00069683
んな,17887,0.0006964
くな,17848,0.00069488
はな,17801,0.00069305
思い,17779,0.00069219
日本,17776,0.00069208
これ,17753,0.00069118
なん,17693,0.00068885
いい,17566,0.0006839
タイ,17398,0.00067736
いな,17296,0.00067339
より,17247,0.00067148
コン,17165,0.00066829
れば,17136,0.00066716
れま,17124,0.00066669
たら,17067,0.00066448
なら,17001,0.00066191
さい,16794,0.00065385
ンス,16765,0.00065272
クス,16472,0.00064131
える,16410,0.0006389
リン,16367,0.00063722
きる,16286,0.00063407
レス,16116,0.00062745
んだ,15995,0.00062274
たり,15703,0.00061137
つい,15691,0.00061091
えて,15656,0.00060954
ファ,15330,0.00059685
によ,15283,0.00059502
にも,15257,0.00059401
ただ,15080,0.00058712
につ,15079,0.00058708
フォ,14991,0.00058365
たと,14983,0.00058334
のか,14933,0.0005814
送料,14893,0.00057984
てし,14820,0.000577
セッ,14782,0.00057552
ラッ,14700,0.00057233
とも,14657,0.00057065
っと,14653,0.0005705
にし,14579,0.00056761
らな,14281,0.00055601
とな,14218,0.00055356
けど,14144,0.00055068
ちゃ,14120,0.00054975
いか,14082,0.00054827
