bigram,frequency,probability
출장,237086,0.01387332
일일,94793,0.00554694
니다,84488,0.00494394
안마,67359,0.00394162
에서,64362,0.00376625
으로,61188,0.00358052
장안,59288,0.00346934
콜걸,47423,0.00277505
지노,46026,0.0026933
카지,45918,0.00268698
하는,44613,0.00261062
이트,41983,0.00245672
사지,40325,0.00235971
장샵,38843,0.00227299
습니,36350,0.00212711
마사,35403,0.00207169
하고,32191,0.00188374
수있,29395,0.00172013
사이,27254,0.00159485
고있,26085,0.00152644
장마,26053,0.00152457
있는,24998,0.00146283
있다,24389,0.0014272
했다,24297,0.00142182
다이,24091,0.00140976
이다,22871,0.00133837
만남,22376,0.00130941
주출,20944,0.00122561
한다,20248,0.00118489
모텔,20188,0.00118137
월일,19618,0.00114802
카톡,19559,0.00114457
추천,19397,0.00113509
카라,19068,0.00111584
천출,18999,0.0011118
예약,18984,0.00111092
바카,18725,0.00109577
게임,18656,0.00109173
는것,18223,0.00106639
지않,18081,0.00105808
비스,17611,0.00103058
가격,17523,0.00102543
다고,17443,0.00102075
서비,17441,0.00102063
산출,17324,0.00101379
합니,17125,0.00100214
입니,17001,0.00099488
에대,16438,0.00096194
다그,16360,0.00095738
할수,15800,0.00092461
것이,15609,0.00091343
화이,15558,0.00091045
지만,15360,0.00089886
오프,14998,0.00087768
다는,14588,0.00085369
서울,14562,0.00085216
호텔,14402,0.0008428
프화,14315,0.00083771
들이,14181,0.00082987
있습,14110,0.00082572
대한,13801,0.00080763
이라,13428,0.00078581
하지,13296,0.00077808
이스,13291,0.00077779
시간,13256,0.00077574
보기,13256,0.00077574
에게,13167,0.00077054
적인,12784,0.00074812
하여,12670,0.00074145
하기,12289,0.00071916
라인,12284,0.00071887
장만,12224,0.00071535
우리,12167,0.00071202
오피,12149,0.00071097
었다,12079,0.00070687
까지,11993,0.00070184
는데,11987,0.00070149
하게,11878,0.00069511
후기,11659,0.00068229
사람,11281,0.00066017
업소,11217,0.00065643
한국,10953,0.00064098
아가,10919,0.00063899
장업,10868,0.00063601
에는,10805,0.00063232
적으,10755,0.0006294
사용,10695,0.00062588
장서,10656,0.0006236
라고,10600,0.00062033
온라,10298,0.00060265
이있,10074,0.00058955
부터,9984,0.00058428
지역,9982,0.00058416
최고,9832,0.00057539
지샵,9805,0.00057381
정보,9582,0.00056076
상품,9515,0.00055684
걸출,9512,0.00055666
면서,9393,0.0005497
하면,9247,0.00054115
위해,9222,0.00053969
일월,9021,0.00052793
서는,9006,0.00052705
스트,8940,0.00052319
경우,8913,0.00052161
아니,8734,0.00051113
라는,8705,0.00050944
가씨,8527,0.00049902
국인,8493,0.00049703
이지,8487,0.00049668
이나,8465,0.00049539
해서,8431,0.0004934
기자,8148,0.00047684
시출,8125,0.0004755
장소,8118,0.00047509
아이,8065,0.00047199
프로,8034,0.00047017
이용,8012,0.00046889
들의,8008,0.00046865
이상,7991,0.00046766
외국,7944,0.00046491
들은,7927,0.00046391
양출,7898,0.00046222
이어,7890,0.00046175
강추,7866,0.00046034
가능,7854,0.00045964
없는,7853,0.00045958
조건,7826,0.000458
가지,7778,0.00045519
보장,7711,0.00045127
되는,7682,0.00044958
텔출,7624,0.00044618
야한,7623,0.00044612
마출,7616,0.00044571
천안,7613,0.00044554
하다,7598,0.00044466
생각,7598,0.00044466
부산,7568,0.00044291
들어,7561,0.0004425
인카,7475,0.00043746
는이,7359,0.00043068
하나,7357,0.00043056
제공,7269,0.00042541
포항,7256,0.00042465
샵예,7249,0.00042424
레이,7232,0.00042324
장오,7194,0.00042102
때문,7173,0.00041979
피걸,7165,0.00041932
동출,7157,0.00041886
지난,7129,0.00041722
군산,7127,0.0004171
정부,7113,0.00041628
소이,7083,0.00041453
년월,7075,0.00041406
마카,7038,0.00041189
보다,6966,0.00040768
노사,6960,0.00040733
장가,6951,0.0004068
리고,6945,0.00040645
문제,6864,0.00040171
리는,6848,0.00040077
기위,6830,0.00039972
데이,6821,0.00039919
장최,6808,0.00039843
톡출,6752,0.00039516
걸샵,6742,0.00039457
미녀,6718,0.00039317
대구,6711,0.00039276
원출,6697,0.00039194
에따,6665,0.00039007
전주,6662,0.00038989
세요,6650,0.00038919
라이,6622,0.00038755
사업,6622,0.00038755
역출,6601,0.00038632
통해,6600,0.00038626
걸만,6583,0.00038527
경기,6579,0.00038503
것은,6564,0.00038416
월월,6556,0.00038369
되었,6534,0.0003824
가장,6533,0.00038234
된다,6479,0.00037918
기를,6465,0.00037836
로그,6464,0.0003783
으며,6456,0.00037784
같은,6455,0.00037778
용하,6447,0.00037731
무료,6387,0.0003738
랜드,6376,0.00037315
그리,6370,0.0003728
사회,6361,0.00037228
되어,6356,0.00037198
슬롯,6356,0.00037198
인터,6355,0.00037193
기업,6337,0.00037087
교육,6313,0.00036947
지원,6296,0.00036847
리뷰,6270,0.00036695
학교,6260,0.00036637
해야,6250,0.00036578
카오,6244,0.00036543
해주,6235,0.0003649
다른,6212,0.00036356
방법,6142,0.00035946
들을,6120,0.00035817
이미,6117,0.000358
하며,6104,0.00035724
는지,6100,0.000357
에도,6096,0.00035677
는사,6088,0.0003563
함께,6041,0.00035355
대전,6024,0.00035256
도출,5992,0.00035068
다시,5984,0.00035022
남원,5975,0.00034969
따라,5859,0.0003429
기에,5858,0.00034284
대해,5851,0.00034243
을수,5811,0.00034009
위한,5810,0.00034003
이야,5796,0.00033922
는법,5749,0.00033647
을위,5748,0.00033641
스타,5707,0.00033401
시작,5704,0.00033383
토토,5704,0.00033383
가있,5687,0.00033284
대학,5687,0.00033284
제주,5663,0.00033143
도록,5658,0.00033114
경주,5655,0.00033096
성출,5647,0.0003305
바둑,5638,0.00032997
전화,5625,0.00032921
기도,5610,0.00032833
연구,5586,0.00032693
제품,5584,0.00032681
여행,5580,0.00032658
이아,5566,0.00032576
지는,5561,0.00032546
에이,5547,0.00032465
인천,5534,0.00032388
둑이,5517,0.00032289
사진,5513,0.00032266
많은,5506,0.00032225
는다,5500,0.0003219
세계,5488,0.00032119
선택,5470,0.00032014
필요,5456,0.00031932
머신,5450,0.00031897
자들,5446,0.00031874
중국,5445,0.00031868
문에,5417,0.00031704
미국,5411,0.00031669
르는,5408,0.00031651
다면,5385,0.00031517
관리,5372,0.00031441
이가,5368,0.00031417
관련,5362,0.00031382
번호,5356,0.00031347
야기,5344,0.00031277
그러,5340,0.00031253
있었,5327,0.00031177
동안,5319,0.0003113
이사,5319,0.0003113
모든,5309,0.00031072
기때,5273,0.00030861
것을,5221,0.00030557
강원,5216,0.00030528
그램,5192,0.00030387
시장,5156,0.00030177
만들,5150,0.00030141
인출,5143,0.000301
대표,5135,0.00030054
흥출,5133,0.00030042
스가,5118,0.00029954
기술,5112,0.00029919
밀양,5084,0.00029755
롯머,5076,0.00029708
을보,5025,0.0002941
이는,5017,0.00029363
있으,5015,0.00029351
라사,4995,0.00029234
을통,4987,0.00029188
을하,4980,0.00029147
안내,4976,0.00029123
자가,4946,0.00028948
자신,4944,0.00028936
또는,4942,0.00028924
다양,4930,0.00028854
정읍,4929,0.00028848
있어,4922,0.00028807
다가,4916,0.00028772
의정,4913,0.00028755
의사,4908,0.00028725
맛사,4904,0.00028702
다음,4896,0.00028655
부분,4867,0.00028485
남출,4857,0.00028427
여관,4856,0.00028421
대로,4854,0.00028409
모두,4810,0.00028152
일본,4806,0.00028129
리스,4795,0.00028064
장맛,4795,0.00028064
이터,4795,0.00028064
개인,4794,0.00028058
안전,4778,0.00027965
터넷,4770,0.00027918
였다,4769,0.00027912
로이,4750,0.00027801
안출,4749,0.00027795
이들,4740,0.00027742
주콜,4739,0.00027736
이번,4713,0.00027584
코스,4709,0.00027561
문화,4707,0.00027549
았다,4707,0.00027549
제출,4698,0.00027497
것으,4676,0.00027368
수원,4676,0.00027368
익산,4661,0.0002728
이고,4659,0.00027268
거나,4649,0.0002721
이었,4646,0.00027192
자동,4640,0.00027157
리를,4638,0.00027145
김제,4633,0.00027116
스포,4629,0.00027093
이기,4621,0.00027046
람들,4613,0.00026999
시오,4596,0.000269
안동,4595,0.00026894
로운,4591,0.0002687
양주,4577,0.00026789
페이,4577,0.00026789
시설,4553,0.00026648
주의,4545,0.00026601
들에,4507,0.00026379
부르,4492,0.00026291
보고,4483,0.00026238
광주,4482,0.00026233
업계,4479,0.00026215
나는,4456,0.0002608
고시,4440,0.00025987
애인,4433,0.00025946
지고,4429,0.00025922
서도,4396,0.00025729
경제,4390,0.00025694
이에,4367,0.0002556
포커,4353,0.00025478
리가,4339,0.00025396
홍성,4327,0.00025326
정도,4326,0.0002532
학생,4323,0.00025302
하였,4320,0.00025285
구미,4320,0.00025285
은이,4302,0.00025179
다하,4294,0.00025133
결과,4286,0.00025086
수없,4284,0.00025074
에있,4279,0.00025045
한것,4254,0.00024898
어요,4252,0.00024887
고하,4226,0.00024735
위원,4221,0.00024705
만족,4206,0.00024618
장이,4195,0.00024553
천콜,4185,0.00024495
됩니,4170,0.00024407
회사,4164,0.00024372
나이,4163,0.00024366
는일,4159,0.00024343
기가,4150,0.0002429
가는,4143,0.00024249
었습,4139,0.00024226
진행,4134,0.00024196
다운,4132,0.00024185
장에,4129,0.00024167
뉴스,4128,0.00024161
로나,4127,0.00024155
리에,4124,0.00024138
바이,4108,0.00024044
개발,4106,0.00024032
확인,4103,0.00024015
만원,4100,0.00023997
샵콜,4086,0.00023915
리아,4074,0.00023845
관계,4071,0.00023828
을받,4067,0.00023804
샵안,4062,0.00023775
마예,4054,0.00023728
인정,4049,0.00023699
으면,4048,0.00023693
먹튀,4045,0.00023675
검색,4034,0.00023611
포출,4026,0.00023564
어서,4024,0.00023553
또한,4016,0.00023506
운영,4012,0.00023482
이를,4010,0.00023471
니라,4010,0.00023471
시스,4006,0.00023447
장아,4006,0.00023447
해출,3998,0.000234
사를,3995,0.00023383
부천,3993,0.00023371
걸강,3976,0.00023272
장전,3972,0.00023248
자의,3959,0.00023172
한곳,3952,0.00023131
는곳,3941,0.00023067
홀덤,3940,0.00023061
인이,3927,0.00022985
양한,3926,0.00022979
전문,3925,0.00022973
장부,3914,0.00022909
장시,3909,0.0002288
전지,3908,0.00022874
전시,3903,0.00022845
그런,3893,0.00022786
현재,3891,0.00022774
오후,3889,0.00022763
주소,3889,0.00022763
텔추,3880,0.0002271
지금,3870,0.00022651
되고,3864,0.00022616
트오,3858,0.00022581
여성,3857,0.00022575
기는,3856,0.0002257
여대,3855,0.00022564
옵션,3850,0.00022534
기장,3846,0.00022511
적이,3836,0.00022452
인아,3835,0.00022447
을가,3832,0.00022429
원이,3829,0.00022412
새로,3828,0.00022406
내용,3826,0.00022394
지를,3820,0.00022359
없다,3804,0.00022265
샵강,3803,0.00022259
목포,3802,0.00022254
김해,3781,0.00022131
여러,3776,0.00022101
사실,3772,0.00022078
주도,3769,0.0002206
언니,3762,0.00022019
항공,3760,0.00022008
회의,3754,0.00021973
어있,3746,0.00021926
속초,3746,0.00021926
제조,3740,0.00021891
장을,3734,0.00021856
국가,3729,0.00021826
이유,3729,0.00021826
나라,3721,0.0002178
경산,3712,0.00021727
업체,3709,0.00021709
산업,3707,0.00021698
지하,3704,0.0002168
전에,3699,0.00021651
의원,3698,0.00021645
일이,3690,0.00021598
창원,3683,0.00021557
처럼,3681,0.00021545
자는,3679,0.00021534
오전,3679,0.00021534
좋은,3674,0.00021505
의경,3673,0.00021499
과정,3673,0.00021499
장미,3669,0.00021475
새창,3669,0.00021475
하시,3661,0.00021428
는경,3659,0.00021417
대생,3656,0.00021399
국내,3654,0.00021387
미시,3654,0.00021387
다또,3653,0.00021382
요한,3651,0.0002137
간편,3649,0.00021358
족보,3647,0.00021347
성을,3646,0.00021341
없이,3644,0.00021329
환경,3643,0.00021323
을제,3639,0.000213
많이,3636,0.00021282
로드,3633,0.00021265
를통,3633,0.00021265
구니,3630,0.00021247
정하,3627,0.0002123
그래,3623,0.00021206
고객,3621,0.00021194
안함,3606,0.00021107
도시,3600,0.00021072
시아,3598,0.0002106
않는,3598,0.0002106
등록,3592,0.00021025
을지,3590,0.00021013
춘천,3589,0.00021007
장바,3589,0.00021007
다년,3586,0.0002099
는가,3582,0.00020966
시미,3582,0.00020966
바구,3581,0.0002096
노바,3577,0.00020937
됐다,3574,0.00020919
제가,3571,0.00020902
연애,3570,0.00020896
다지,3567,0.00020878
지출,3564,0.00020861
스보,3558,0.00020826
지도,3555,0.00020808
고싶,3554,0.00020802
이되,3553,0.00020796
포츠,3549,0.00020773
평균,3546,0.00020756
지못,3543,0.00020738
를위,3541,0.00020726
상황,3541,0.00020726
릉콜,3525,0.00020633
미인,3513,0.00020562
장여,3506,0.00020521
마시,3505,0.00020516
화번,3504,0.0002051
감사,3497,0.00020469
원주,3494,0.00020451
샵추,3493,0.00020445
고말,3492,0.0002044
겠다,3492,0.0002044
상을,3488,0.00020416
다사,3487,0.0002041
스를,3486,0.00020404
기새,3482,0.00020381
스홍,3480,0.00020369
사는,3478,0.00020358
북도,3478,0.00020358
영화,3475,0.0002034
추가,3475,0.0002034
걸후,3469,0.00020305
사랑,3462,0.00020264
도있,3459,0.00020246
장외,3453,0.00020211
의이,3451,0.000202
다다,3443,0.00020153
계위,3442,0.00020147
활동,3440,0.00020135
장연,3439,0.00020129
창보,3437,0.00020118
산콜,3432,0.00020088
계획,3425,0.00020047
마음,3420,0.00020018
이제,3419,0.00020012
문경,3417,0.00020001
색시,3412,0.00019971
샵후,3410,0.0001996
을이,3406,0.00019936
마추,3400,0.00019901
영상,3398,0.00019889
최강,3396,0.00019878
진해,3394,0.00019866
클립,3394,0.00019866
위치,3393,0.0001986
이후,3393,0.0001986
마야,3391,0.00019849
다한,3384,0.00019808
게되,3376,0.00019761
남도,3375,0.00019755
장색,3366,0.00019702
상주,3365,0.00019696
녀언,3358,0.00019655
장코,3358,0.00019655
몸매,3354,0.00019632
오쓰,3342,0.00019562
이드,3335,0.00019521
전자,3334,0.00019515
쓰피,3334,0.00019515
센터,3331,0.00019497
인급,3331,0.00019497
이전,3327,0.00019474
미지,3327,0.00019474
도로,3318,0.00019421
약포,3314,0.00019398
걸추,3310,0.00019375
니까,3305,0.00019345
는기,3299,0.0001931
성이,3298,0.00019304
거리,3298,0.00019304
평가,3295,0.00019287
분석,3294,0.00019281
일부,3293,0.00019275
정이,3290,0.00019258
는상,3289,0.00019252
자리,3285,0.00019228
국제,3275,0.0001917
걸업,3275,0.0001917
러나,3269,0.00019135
머니,3269,0.00019135
금없,3268,0.00019129
중에,3267,0.00019123
약금,3255,0.00019053
을선,3251,0.00019029
강미,3251,0.00019029
한사,3250,0.00019023
보이,3248,0.00019012
한이,3244,0.00018988
매최,3244,0.00018988
토사,3242,0.00018977
립안,3238,0.00018953
로인,3237,0.00018947
편보,3237,0.00018947
스크,3234,0.0001893
의기,3233,0.00018924
장몸,3233,0.00018924
노카,3230,0.00018906
이천,3229,0.00018901
있을,3208,0.00018778
로서,3204,0.00018754
이없,3198,0.00018719
력을,3197,0.00018713
오는,3190,0.00018672
스카,3189,0.00018667
신의,3183,0.00018631
청주,3183,0.00018631
번역,3180,0.00018614
다아,3178,0.00018602
김천,3178,0.00018602
전략,3177,0.00018596
국에,3176,0.0001859
논산,3176,0.0001859
베이,3175,0.00018585
의미,3174,0.00018579
등을,3174,0.00018579
블랙,3170,0.00018555
