bigram,frequency,probability
ို,762403,0.02452556
င္,687313,0.02211001
ား,453431,0.01458633
္း,450129,0.01448011
က္,336587,0.01082761
င်,285131,0.00917233
္ေ,269533,0.00867056
န္,265770,0.00854951
ည္,232128,0.00746729
ာင,229272,0.00737542
ီး,221423,0.00712293
ေတ,220813,0.0071033
ယ္,217428,0.00699441
ကိ,216268,0.0069571
က်,214561,0.00690219
်း,207052,0.00666063
ပါ,207030,0.00665992
ဲ့,206765,0.0066514
းေ,206137,0.0066312
တာ,201575,0.00648444
စ္,186191,0.00598956
ော,183125,0.00589093
ာက,182488,0.00587044
တြ,162129,0.00521552
းမ,161007,0.00517942
ုင,159755,0.00513915
းက,157628,0.00507072
ျပ,151295,0.004867
္မ,149620,0.00481312
တ္,148197,0.00476734
မွ,140175,0.00450928
းတ,137486,0.00442278
မ်,134815,0.00433686
းသ,133358,0.00428999
္တ,132944,0.00427667
ေန,130491,0.00419776
ပ္,129973,0.0041811
သည,129110,0.00415334
ကာ,129100,0.00415301
တယ,124668,0.00401044
ေရ,122806,0.00395054
းအ,121760,0.0039169
လိ,121684,0.00391445
်ာ,121278,0.00390139
့္,121171,0.00389795
ရာ,121042,0.0038938
ၾက,120623,0.00388032
ုိ,117221,0.00377088
ုပ,116309,0.00374154
ွာ,110865,0.00356642
္။,110789,0.00356397
္က,110039,0.00353985
္လ,108789,0.00349964
န်,108785,0.00349951
ုး,106306,0.00341976
းရ,105585,0.00339657
သာ,105498,0.00339377
းလ,104634,0.00336597
္သ,104084,0.00334828
တိ,103897,0.00334227
်က,103012,0.0033138
ပြ,102892,0.00330994
းပ,102576,0.00329977
ရွ,101018,0.00324965
ခ်,99919,0.0032143
ည်,99416,0.00319812
တဲ,97439,0.00313452
ျဖ,94335,0.00303467
ုက,92997,0.00299163
ေပ,91671,0.00294897
ကြ,91107,0.00293083
လု,90162,0.00290043
ုတ,89459,0.00287781
်မ,89405,0.00287608
သူ,89073,0.0028654
ြင,88632,0.00285121
မ္,88084,0.00283358
္ပ,87530,0.00281576
လာ,86125,0.00277056
္အ,85416,0.00274776
ါတ,83383,0.00268236
္ရ,83354,0.00268142
ာ္,83242,0.00267782
ာေ,82640,0.00265846
စ်,81868,0.00263362
ေလ,80327,0.00258405
္ခ,79565,0.00255954
်ပ,78712,0.0025321
်တ,78490,0.00252496
းခ,78426,0.0025229
ယ်,78204,0.00251576
ဆိ,76920,0.00247445
းစ,76673,0.0024665
ာ့,76038,0.00244608
ေး,75297,0.00242224
အေ,75200,0.00241912
စာ,74854,0.00240799
့အ,74621,0.00240049
ု႔,74425,0.00239419
ေက,74077,0.00238299
ွင,73603,0.00236775
ခဲ,72717,0.00233925
မှ,71743,0.00230791
ပ်,71342,0.00229501
ပီ,69237,0.0022273
ဖစ,68196,0.00219381
ုံ,68164,0.00219278
အာ,67933,0.00218535
မိ,67800,0.00218107
နဲ,67343,0.00216637
ြက,67124,0.00215933
္ျ,66994,0.00215514
ေသ,66106,0.00212658
ဖြ,65595,0.00211014
ြာ,65084,0.0020937
တွ,65049,0.00209258
ံု,64232,0.00206629
ေျ,63733,0.00205024
တ်,62655,0.00201556
ာမ,62539,0.00201183
ူး,62466,0.00200948
သိ,61879,0.0019906
နာ,61318,0.00197255
ထာ,60754,0.00195441
့်,60610,0.00194978
ာတ,60603,0.00194955
္စ,60002,0.00193022
မျ,59807,0.00192395
မာ,59715,0.00192099
းျ,59631,0.00191829
်သ,59459,0.00191275
လည,59121,0.00190188
ိတ,59058,0.00189985
ိမ,58959,0.00189667
ု့,58226,0.00187309
ျမ,58109,0.00186932
ကေ,57657,0.00185478
်ရ,57546,0.00185121
းန,57424,0.00184729
်လ,56580,0.00182014
အတ,56500,0.00181757
ၿပ,56152,0.00180637
ွိ,56087,0.00180428
ႏွ,56085,0.00180422
င့,55664,0.00179067
ွေ,55656,0.00179041
တစ,55118,0.00177311
ဲ႔,54688,0.00175928
ြန,54357,0.00174863
်အ,54001,0.00173718
်န,53718,0.00172807
ိဳ,53657,0.00172611
အခ,53564,0.00172312
်င,53142,0.00170954
ြေ,53141,0.00170951
ရေ,53126,0.00170903
ုန,52741,0.00169664
နေ,51851,0.00166801
ရင,50926,0.00163826
ာအ,50742,0.00163234
ရး,49732,0.00159985
ိန,49717,0.00159936
ာပ,49337,0.00158714
ကု,49268,0.00158492
္ဆ,48794,0.00156967
်။,48413,0.00155742
ာရ,48173,0.0015497
့သ,47904,0.00154104
ပိ,47076,0.00151441
ဒီ,46984,0.00151145
းဆ,46712,0.0015027
ာသ,46332,0.00149047
ုေ,45796,0.00147323
ရှ,45565,0.0014658
ခု,45332,0.0014583
ာလ,45231,0.00145506
ုလ,44806,0.00144138
်ခ,43604,0.00140272
အမ,43326,0.00139377
ေမ,43301,0.00139297
စိ,42747,0.00137515
ေၾ,42369,0.00136299
ခြ,42286,0.00136032
ျာ,42024,0.00135189
ျခ,41866,0.00134681
ံး,41560,0.00133696
ြဲ,41518,0.00133561
တေ,41270,0.00132764
ရဲ,41191,0.00132509
့ေ,41014,0.0013194
ေဆ,40938,0.00131696
ပေ,40811,0.00131287
ႀက,40729,0.00131023
့တ,40625,0.00130689
းထ,40616,0.0013066
ထိ,40479,0.00130219
ချ,40114,0.00129045
့က,39904,0.00128369
ခံ,39821,0.00128102
။အ,39711,0.00127748
်စ,39509,0.00127099
ုအ,39102,0.00125789
တင,38715,0.00124544
ကျ,38666,0.00124387
ြီ,38476,0.00123776
သြ,38426,0.00123615
ခင,38383,0.00123476
်ိ,37948,0.00122077
ေအ,37803,0.00121611
ပာ,37690,0.00121247
ပည,37659,0.00121147
္ထ,37648,0.00121112
ကီ,37648,0.00121112
လူ,37585,0.00120909
မယ,37556,0.00120816
ုရ,37512,0.00120675
နှ,37193,0.00119648
မြ,37026,0.00119111
ိင,36876,0.00118629
့မ,36674,0.00117979
အစ,36580,0.00117676
့ပ,36467,0.00117313
လွ,36258,0.00116641
မႈ,35832,0.0011527
ႏိ,35778,0.00115096
ုမ,35164,0.00113121
ငံ,34652,0.00111474
ဘာ,34435,0.00110776
အရ,34430,0.0011076
လက,34418,0.00110722
ိပ,34276,0.00110265
း၊,34203,0.0011003
ာန,33866,0.00108946
လး,33834,0.00108843
ြစ,33806,0.00108753
ပး,33802,0.0010874
ဲ႕,33722,0.00108483
သေ,33587,0.00108048
ဆု,33531,0.00107868
နိ,33431,0.00107546
္င,33301,0.00107128
အသ,33189,0.00106768
္န,32847,0.00105668
မေ,32826,0.001056
ဟာ,32659,0.00105063
ှာ,32649,0.00105031
ာ်,32476,0.00104474
ဖိ,32085,0.00103217
့္,31829,0.00102393
့လ,31750,0.00102139
ယာ,31697,0.00101968
စီ,31356,0.00100871
ရိ,31012,0.00099765
းဖ,30962,0.00099604
္ႏ,30664,0.00098645
ပဲ,30533,0.00098224
ဟု,30508,0.00098144
သတ,30345,0.00097619
အလ,30307,0.00097497
်ဆ,30270,0.00097378
့ရ,30152,0.00096998
ုသ,29916,0.00096239
ှိ,29616,0.00095274
သင,29412,0.00094618
ိက,29208,0.00093962
သမ,29182,0.00093878
ှင,29059,0.00093482
မန,28834,0.00092759
ရန,28177,0.00090645
ပန,27882,0.00089696
ေစ,27695,0.00089094
ှု,27683,0.00089056
အက,27596,0.00088776
မည,27435,0.00088258
ရပ,27335,0.00087936
စု,27256,0.00087682
ဆာ,27037,0.00086978
႔ေ,26964,0.00086743
တု,26918,0.00086595
မရ,26825,0.00086296
ဘူ,26570,0.00085476
သက,26508,0.00085276
မင,26433,0.00085035
ွန,26218,0.00084343
ုယ,26212,0.00084324
ဒါ,26210,0.00084317
ူမ,26115,0.00084012
းႏ,25861,0.00083195
ဳး,25824,0.00083076
ေခ,25733,0.00082783
ိေ,25632,0.00082458
ပင,25587,0.00082313
ဦ,25420,0.00081776
ူတ,25290,0.00081358
အပ,25080,0.00080682
တက,25031,0.00080525
ွစ,24995,0.00080409
ြး,24684,0.00079408
မတ,24290,0.00078141
အိ,23926,0.0007697
လေ,23802,0.00076571
ရက,23729,0.00076336
႔အ,23514,0.00075645
္ၿ,23304,0.00074969
ွက,23238,0.00074757
ထု,23156,0.00074493
ိသ,23107,0.00074335
ာခ,23095,0.00074297
ာျ,23087,0.00074271
ပု,23001,0.00073994
္ဘ,22984,0.0007394
မီ,22633,0.00072811
နယ,22514,0.00072428
ကမ,22400,0.00072061
္ဖ,22365,0.00071949
ေဒ,22365,0.00071949
ရတ,22029,0.00070868
်ဳ,21783,0.00070076
ဆင,21762,0.00070009
ရမ,21734,0.00069919
ဝင,21729,0.00069903
့်,21467,0.0006906
ဥ္,21426,0.00068928
ယူ,21362,0.00068722
။ဒ,21181,0.0006814
လဲ,21177,0.00068127
ကတ,21142,0.00068014
်ဖ,21103,0.00067889
ခါ,20992,0.00067532
း။,20949,0.00067393
ိရ,20907,0.00067258
ည့,20898,0.00067229
ါက,20779,0.00066847
ျိ,20771,0.00066821
ေါ,20710,0.00066625
သံ,20407,0.0006565
ကလ,20391,0.00065598
အဖ,20287,0.00065264
တန,20270,0.00065209
္ၾ,20134,0.00064772
စစ,20106,0.00064682
ါင,20011,0.00064376
ွဲ,19910,0.00064051
အန,19848,0.00063852
စက,19767,0.00063591
ူေ,19748,0.0006353
နတ,19725,0.00063456
ါ။,19699,0.00063372
္၊,19606,0.00063073
အျ,19595,0.00063038
်ထ,19591,0.00063025
ေထ,19458,0.00062597
။သ,19449,0.00062568
ရီ,19366,0.00062301
ါး,19211,0.00061803
။က,19137,0.00061565
ရြ,19121,0.00061513
ထဲ,19111,0.00061481
တရ,19052,0.00061291
။ေ,19046,0.00061272
ေဖ,19024,0.00061201
ကပ,18897,0.00060792
နည,18865,0.0006069
ီလ,18785,0.00060432
ဲမ,18727,0.00060246
ာစ,18692,0.00060133
အထ,18626,0.00059921
ႏု,18585,0.00059789
႔က,18460,0.00059387
ရု,18164,0.00058434
ဆံ,18094,0.00058209
္႔,18067,0.00058122
တီ,17904,0.00057598
ပတ,17899,0.00057582
အဆ,17784,0.00057212
သု,17753,0.00057112
ဆေ,17671,0.00056849
ီမ,17628,0.0005671
ိ႔,17614,0.00056665
ဦး,17521,0.00056366
ိး,17516,0.0005635
ေ့,17485,0.0005625
့စ,17462,0.00056176
ါေ,17374,0.00055893
ကအ,17361,0.00055851
ပဳ,17349,0.00055813
ြယ,17328,0.00055745
တည,17228,0.00055423
ကန,17176,0.00055256
ဆက,17169,0.00055234
ံေ,17138,0.00055134
ြိ,16881,0.00054307
ခန,16747,0.00053876
ျက,16716,0.00053776
ွတ,16604,0.00053416
ကည,16480,0.00053017
လြ,16442,0.00052895
ြည,16441,0.00052892
လမ,16431,0.0005286
အဲ,16420,0.00052824
ဝန,16416,0.00052811
ရသ,16378,0.00052689
စြ,16365,0.00052647
ဲေ,16300,0.00052438
ါသ,16270,0.00052342
ွ်,16241,0.00052248
လံ,16214,0.00052162
ြတ,16176,0.00052039
သီ,16112,0.00051833
ျေ,15804,0.00050843
စည,15771,0.00050737
ုစ,15759,0.00050698
ခိ,15746,0.00050656
ုခ,15697,0.00050498
းယ,15621,0.00050254
ာဆ,15430,0.0004964
မဟ,15423,0.00049617
တပ,15380,0.00049479
ညာ,15327,0.00049308
ြမ,15302,0.00049228
့န,15297,0.00049212
၊အ,15162,0.00048777
းၿ,15061,0.00048453
ီအ,15048,0.00048411
တူ,15034,0.00048366
မလ,14911,0.0004797
သွ,14906,0.00047954
ံတ,14729,0.00047385
ၿမ,14668,0.00047188
ီေ,14614,0.00047015
ျင,14608,0.00046995
သန,14483,0.00046593
ံမ,14451,0.0004649
ကသ,14308,0.0004603
ထြ,14285,0.00045956
းဘ,14235,0.00045795
ဘယ,14095,0.00045345
းဝ,14092,0.00045335
ပၚ,13842,0.00044531
ဳ႕,13805,0.00044412
ဖင,13782,0.00044338
ံရ,13748,0.00044229
႔မ,13729,0.00044168
ဲက,13714,0.00044119
မက,13698,0.00044068
၂၀,13622,0.00043823
။မ,13552,0.00043598
န႔,13489,0.00043396
ေယ,13276,0.0004271
ပမ,13182,0.00042408
႔လ,13156,0.00042324
နရ,13153,0.00042315
ီက,13071,0.00042051
ဘု,13020,0.00041887
ဆီ,13003,0.00041832
ါ့,12998,0.00041816
နက,12980,0.00041758
့ခ,12929,0.00041594
တတ,12921,0.00041568
ကူ,12726,0.00040941
္ႀ,12722,0.00040928
္ဒ,12674,0.00040774
ဳိ,12671,0.00040764
စေ,12617,0.0004059
းၾ,12574,0.00040452
မဲ,12517,0.00040269
ုျ,12477,0.0004014
ပံ,12412,0.00039931
ဲဒ,12366,0.00039783
ိခ,12284,0.00039519
ဳပ,12280,0.00039506
ိလ,12215,0.00039297
ံက,12149,0.00039085
ူက,12118,0.00038985
စဥ,12112,0.00038966
ညီ,12056,0.00038786
ပစ,12033,0.00038712
မူ,12032,0.00038709
နီ,12015,0.00038654
္ဟ,11904,0.00038297
့ျ,11834,0.00038072
။တ,11819,0.00038023
ှစ,11799,0.00037959
လင,11797,0.00037953
လ်,11778,0.00037892
႕ေ,11758,0.00037827
့ဆ,11748,0.00037795
ေဘ,11674,0.00037557
ွမ,11622,0.0003739
႔သ,11586,0.00037274
သလ,11586,0.00037274
ြု,11480,0.00036933
ကက,11464,0.00036881
အု,11463,0.00036878
ီတ,11461,0.00036872
ု႕,11356,0.00036534
ာဝ,11325,0.00036434
စတ,11304,0.00036367
၀င,11296,0.00036341
ာဖ,11252,0.00036199
ၽြ,11201,0.00036035
ဖွ,11136,0.00035826
ဲတ,11133,0.00035817
႔ရ,11129,0.00035804
ာထ,11126,0.00035794
သစ,11121,0.00035778
်ေ,11032,0.00035492
ဇာ,10948,0.00035222
ငယ,10947,0.00035218
၀၀,10938,0.00035189
ိယ,10935,0.0003518
်ယ,10902,0.00035074
ွယ,10861,0.00034942
ဆန,10813,0.00034787
႔တ,10752,0.00034591
ကစ,10692,0.00034398
းဟ,10684,0.00034372
ကရ,10523,0.00033854
ကယ,10522,0.00033851
ုဆ,10519,0.00033841
ငါ,10429,0.00033552
ာဘ,10394,0.00033439
ဆရ,10379,0.00033391
းဒ,10372,0.00033369
ကၽ,10348,0.00033291
လ္,10308,0.00033163
ိစ,10258,0.00033002
ဖာ,10202,0.00032822
ာႏ,10167,0.00032709
အင,10137,0.00032613
႕အ,10131,0.00032593
ပွ,10121,0.00032561
်၊,10072,0.00032404
္ယ,10023,0.00032246
။လ,9984,0.0003212
စရ,9976,0.00032095
်ဘ,9945,0.00031995
ါဘ,9938,0.00031972
ါ်,9931,0.0003195
ထက,9849,0.00031686
၊ေ,9822,0.00031599
ြအ,9761,0.00031403
ခာ,9685,0.00031159
ဘက,9678,0.00031136
ုဒ,9646,0.00031033
ိအ,9633,0.00030991
ုထ,9568,0.00030782
ရည,9555,0.0003074
ုု,9552,0.00030731
ှေ,9551,0.00030728
ှတ,9483,0.00030509
ဉ်,9449,0.00030399
ဖု,9424,0.00030319
ံစ,9418,0.000303
ဒေ,9408,0.00030268
ရရ,9377,0.00030168
ါမ,9367,0.00030136
မသ,9336,0.00030036
ူသ,9329,0.00030013
လျ,9298,0.00029914
ဖတ,9293,0.00029898
ဲလ,9292,0.00029894
ဆး,9267,0.00029814
့ဘ,9251,0.00029763
ာဂ,9149,0.00029434
စပ,9136,0.00029393
ဆြ,9130,0.00029373
စံ,9107,0.00029299
ူလ,9043,0.00029093
္ဥ,8986,0.0002891
ထူ,8979,0.00028888
သး,8970,0.00028859
သခ,8923,0.00028707
႔ပ,8919,0.00028695
နစ,8906,0.00028653
ထမ,8890,0.00028601
တခ,8876,0.00028556
ါပ,8855,0.00028489
စၥ,8845,0.00028456
ံခ,8844,0.00028453
႐ု,8832,0.00028415
ူအ,8826,0.00028395
ကွ,8818,0.0002837
ံသ,8789,0.00028276
ငြ,8751,0.00028154
ါလ,8739,0.00028115
ဲ။,8733,0.00028096
ငန,8680,0.00027926
းႀ,8659,0.00027858
ုဖ,8642,0.00027803
ံပ,8622,0.00027739
ဏ္,8621,0.00027736
ပူ,8618,0.00027726
ြပ,8583,0.00027614
ီယ,8583,0.00027614
၊မ,8582,0.0002761
၀န,8530,0.00027443
ဲအ,8497,0.00027337
ာယ,8452,0.00027192
ဘဲ,8344,0.00026845
ခွ,8321,0.00026771
့ဖ,8303,0.00026713
မု,8280,0.00026639
ဂ်,8261,0.00026578
တမ,8249,0.00026539
ြရ,8215,0.0002643
၀၁,8199,0.00026378
ဖက,8188,0.00026343
ံအ,8168,0.00026279
့။,8150,0.00026221
ာၾ,8089,0.00026024
။ထ,8068,0.00025957
ခရ,8010,0.0002577
