bigram,frequency,probability
ان,351814,0.01749115
او,262075,0.01302961
ون,234589,0.01166309
وا,232336,0.01155108
په,231668,0.01151787
ول,211752,0.0105277
ور,203782,0.01013146
نو,203528,0.01011883
ار,199083,0.00989784
ال,187850,0.00933937
دا,186195,0.00925709
هد,170530,0.00847827
له,165919,0.00824903
رو,161670,0.00803778
لو,157712,0.007841
ېد,153505,0.00763184
را,146620,0.00728954
نه,141254,0.00702276
ره,141223,0.00702122
لا,138889,0.00690518
کې,136150,0.00676901
ند,132425,0.00658381
ست,130493,0.00648776
ته,129923,0.00645942
ود,129686,0.00644764
هم,126867,0.00630748
کو,124004,0.00616515
یا,122222,0.00607655
ها,122201,0.00607551
هو,119762,0.00595425
دو,113587,0.00564724
ام,111425,0.00553976
يا,110899,0.0055136
وم,108718,0.00540517
چې,108655,0.00540204
یو,108083,0.0053736
تو,107174,0.00532841
هک,104084,0.00517478
يد,101702,0.00505636
اس,99744,0.00495901
تا,99368,0.00494032
وي,97923,0.00486848
ما,96916,0.00481841
اد,96736,0.00480946
وس,91019,0.00452523
ده,90669,0.00450783
ات,88716,0.00441073
کړ,88563,0.00440313
وک,86977,0.00432428
کا,86471,0.00429912
ای,86367,0.00429395
مو,84545,0.00420337
وی,84045,0.00417851
نا,81718,0.00406282
وه,78943,0.00392485
ری,78872,0.00392132
وو,78864,0.00392092
وپ,77535,0.00385485
هپ,77228,0.00383959
ید,76296,0.00379325
پا,76268,0.00379186
تر,76144,0.00378569
با,76119,0.00378445
لی,75865,0.00377182
ري,73773,0.00366782
لي,73128,0.00363575
يو,69860,0.00347327
سر,69179,0.00343942
بر,69114,0.00343618
اک,68124,0.00338696
شو,67182,0.00334013
دی,66689,0.00331562
دي,66210,0.00329181
دې,64974,0.00323036
ېپ,64137,0.00318874
ین,63610,0.00316254
پر,63368,0.00315051
هن,62654,0.00311501
رک,61854,0.00307524
خو,61358,0.00305058
هل,60332,0.00299957
من,58253,0.00289621
هر,56777,0.00282283
سو,56545,0.00281129
اف,55825,0.0027755
وت,55540,0.00276133
مر,54248,0.00269709
دد,54136,0.00269152
به,53901,0.00267984
نی,53811,0.00267537
وب,53434,0.00265662
نس,52963,0.00263321
هغ,52919,0.00263102
لک,52636,0.00261695
اب,52181,0.00259433
هب,52025,0.00258657
ېو,51706,0.00257071
نک,51586,0.00256475
دم,51311,0.00255107
ني,50846,0.00252796
مل,49861,0.00247898
یل,49709,0.00247143
در,49336,0.00245288
دل,49166,0.00244443
رت,49125,0.00244239
یک,49003,0.00243633
پل,48933,0.00243285
یر,48744,0.00242345
غه,48366,0.00240466
هی,48263,0.00239954
غا,47706,0.00237184
سا,47536,0.00236339
پو,47412,0.00235723
رس,47379,0.00235559
رې,46205,0.00229722
مه,45960,0.00228504
ړي,45420,0.00225819
هت,45031,0.00223885
رم,44297,0.00220236
مد,43949,0.00218506
وړ,43520,0.00216373
رد,43386,0.00215707
اي,43119,0.00214379
غو,43107,0.0021432
هه,42958,0.00213579
ين,42883,0.00213206
ېل,41097,0.00204327
سی,40613,0.0020192
فغ,40309,0.00200409
دپ,40230,0.00200016
ېا,40101,0.00199375
اړ,40018,0.00198962
کي,39696,0.00197361
يچ,39636,0.00197063
هچ,39592,0.00196844
لم,39415,0.00195964
هخ,39169,0.00194741
ېر,38970,0.00193752
يک,38943,0.00193618
يپ,38570,0.00191763
لې,38541,0.00191619
خپ,38540,0.00191614
لپ,38242,0.00190132
یت,37780,0.00187835
دن,37699,0.00187433
ړه,37398,0.00185936
يم,36848,0.00183202
يل,36680,0.00182367
تل,36445,0.00181198
دک,36392,0.00180935
هس,36199,0.00179975
نګ,36072,0.00179344
نې,35850,0.0017824
می,35793,0.00177957
رن,35518,0.00176589
بل,35053,0.00174278
خه,34829,0.00173164
ټو,34711,0.00172577
یم,34414,0.00171101
کی,33987,0.00168978
سل,33772,0.00167909
یس,33551,0.0016681
لر,33474,0.00166427
لد,33472,0.00166417
که,33469,0.00166402
لس,33232,0.00165224
یې,33195,0.0016504
تی,33021,0.00164175
کل,32776,0.00162957
دس,32624,0.00162201
وخ,32367,0.00160924
سي,32232,0.00160253
هش,32230,0.00160243
مت,32163,0.00159909
از,32025,0.00159223
دغ,31080,0.00154525
لل,30984,0.00154048
يت,29966,0.00148987
مخ,29965,0.00148982
ېک,29890,0.00148609
شر,29825,0.00148286
وز,28832,0.00143349
تي,28778,0.0014308
ښت,28621,0.001423
مي,28442,0.0014141
ړی,28417,0.00141286
