bigram,frequency,probability
de,1721205,0.01951592
es,1643834,0.01863865
os,1414564,0.01603907
ra,1396095,0.01582966
as,1255386,0.01423423
ar,1232997,0.01398037
en,1210150,0.01372132
ad,1202934,0.0136395
re,1165214,0.01321181
do,1138990,0.01291447
er,1116868,0.01266364
co,1115934,0.01265305
nt,1047685,0.01187921
se,1036615,0.01175369
te,1003954,0.01138336
or,999298,0.01133057
an,933415,0.01058355
da,902944,0.01023806
em,885557,0.01004092
ma,880581,0.00998449
ta,858210,0.00973084
st,813585,0.00922486
od,809153,0.00917461
to,801285,0.0090854
al,795418,0.00901887
on,794286,0.00900604
om,778302,0.0088248
in,776355,0.00880273
me,728851,0.0082641
ri,711874,0.00807161
ca,698646,0.00792162
is,692665,0.00785381
ia,683474,0.00774959
ro,677487,0.00768171
am,664296,0.00753214
sa,650023,0.00737031
qu,649169,0.00736063
ão,625181,0.00708864
pa,598879,0.00679041
ss,573776,0.00650578
na,565896,0.00641643
ec,554139,0.00628313
po,547966,0.00621313
el,541132,0.00613565
ci,534325,0.00605846
ti,532729,0.00604037
pr,530693,0.00601728
ue,524650,0.00594876
ac,524226,0.00594396
at,505775,0.00573475
ic,505071,0.00572677
so,501963,0.00569153
oc,500380,0.00567358
nd,485390,0.00550361
ed,482500,0.00547085
no,481920,0.00546427
li,479242,0.00543391
ap,474261,0.00537743
tr,470414,0.00533381
ei,460067,0.00521649
op,459262,0.00520736
ea,458887,0.00520311
mo,456056,0.00517101
sd,449448,0.00509609
sp,447782,0.0050772
la,444273,0.00503741
io,443490,0.00502853
di,436247,0.00494641
pe,433517,0.00491545
id,420383,0.00476653
ai,417132,0.00472967
si,408415,0.00463083
it,405753,0.00460065
le,402855,0.00456779
ve,401457,0.00455194
et,394786,0.0044763
sc,381752,0.00432851
oa,379320,0.00430094
um,375416,0.00425667
oe,364558,0.00413356
ir,343072,0.00388994
mp,342793,0.00388678
ol,336728,0.00381801
im,333393,0.00378019
ae,324469,0.00367901
lo,324407,0.00367831
ou,316796,0.00359201
rt,313724,0.00355718
ep,310773,0.00352372
ua,307069,0.00348172
çã,306993,0.00348086
ce,303058,0.00343624
aa,299068,0.003391
aç,296830,0.00336562
nc,291505,0.00330525
ee,287155,0.00325592
vi,277616,0.00314777
ot,274519,0.00311265
mi,267070,0.00302819
va,263060,0.00298272
ni,262542,0.00297685
il,262392,0.00297515
ne,259112,0.00293796
ns,258928,0.00293587
ho,246288,0.00279255
ur,244307,0.00277009
ao,238668,0.00270615
un,238264,0.00270157
ab,232244,0.00263331
su,232026,0.00263084
eu,229504,0.00260225
fi,226891,0.00257262
eg,226875,0.00257244
ha,222063,0.00251788
ui,218055,0.00247243
av,216595,0.00245588
tu,215908,0.00244809
ag,215507,0.00244354
fo,214940,0.00243711
ev,214860,0.00243621
br,214775,0.00243524
eo,213939,0.00242576
iv,213567,0.00242154
ob,211068,0.00239321
us,207171,0.00234902
ga,205801,0.00233349
ut,201092,0.0022801
ul,200540,0.00227384
rm,199454,0.00226152
rd,197015,0.00223387
vo,196193,0.00222455
oi,194850,0.00220932
ef,194262,0.00220265
fe,193407,0.00219296
of,191589,0.00217235
nh,189882,0.00215299
ba,188845,0.00214123
sm,186930,0.00211952
ov,186798,0.00211802
