bigram,frequency,probability
ст,354515,0.01506415
ен,305643,0.01298748
но,298599,0.01268816
ов,285945,0.01215046
ни,277984,0.01181218
то,274589,0.01166792
на,267851,0.01138161
ра,266568,0.01132709
ро,246549,0.01047644
по,233193,0.00990892
ко,231325,0.00982954
ос,227909,0.00968439
ан,214020,0.00909422
пр,207493,0.00881687
ре,200614,0.00852457
ер,195287,0.00829821
ет,189515,0.00805295
те,187427,0.00796422
ор,185040,0.00786279
ка,184986,0.0078605
та,183353,0.00779111
ес,183182,0.00778384
от,179493,0.00762709
ат,175840,0.00747186
од,172691,0.00733806
ва,169245,0.00719163
во,166824,0.00708876
не,164403,0.00698588
го,162424,0.00690179
ин,161553,0.00686478
ли,161476,0.00686151
ом,160582,0.00682352
ит,157719,0.00670186
ол,157582,0.00669604
ны,154388,0.00656032
ль,151066,0.00641916
ле,148375,0.00630482
ти,147059,0.0062489
он,146427,0.00622204
ть,146129,0.00620938
ел,144809,0.00615329
ал,144508,0.0061405
ас,138871,0.00590097
ри,134831,0.0057293
ск,134822,0.00572892
де,132535,0.00563174
ав,132467,0.00562885
ис,130643,0.00555135
об,129659,0.00550953
ак,127932,0.00543615
ог,126552,0.00537751
мо,121820,0.00517644
ме,121107,0.00514614
ла,119816,0.00509128
ки,119335,0.00507085
ем,118866,0.00505092
ве,117457,0.00499104
ар,116677,0.0049579
тр,114746,0.00487585
за,112328,0.0047731
ед,111941,0.00475666
ло,109227,0.00464133
да,105780,0.00449486
ие,104808,0.00445356
ия,104371,0.00443499
че,102113,0.00433904
тв,102044,0.00433611
ам,99780,0.00423991
до,99671,0.00423528
ой,99471,0.00422678
им,99026,0.00420787
со,98650,0.00419189
ик,97777,0.0041548
ив,97661,0.00414987
ма,96589,0.00410432
оп,96069,0.00408222
ми,95067,0.00403965
нн,91762,0.00389921
аз,91211,0.0038758
ви,90714,0.00385468
ии,88507,0.0037609
ил,87076,0.00370009
ев,86541,0.00367736
ьн,85426,0.00362998
из,84433,0.00358778
ок,82709,0.00351453
ек,81278,0.00345372
бо,79653,0.00338467
вы,78036,0.00331596
ру,77042,0.00327372
се,76585,0.0032543
ля,75466,0.00320676
ся,73933,0.00314162
тс,73302,0.0031148
же,72305,0.00307244
еп,72133,0.00306513
ап,71849,0.00305306
ди,70610,0.00300041
ад,68345,0.00290417
сп,67254,0.00285781
вс,66525,0.00282683
ир,66343,0.0028191
ци,66199,0.00281298
ип,65357,0.0027772
сл,64752,0.0027515
