bigram,frequency,probability
на,1637741,0.01490741
ра,1526939,0.01389885
је,1521696,0.01385112
ст,1375370,0.0125192
ко,1343627,0.01223026
ни,1299449,0.01182814
ан,1275615,0.01161119
ен,1127673,0.01026456
ре,1122904,0.01022115
ти,1121022,0.01020402
но,1117828,0.01017495
пр,1060624,0.00965425
иј,1044782,0.00951005
од,1042046,0.00948515
по,1040997,0.0094756
ов,1015785,0.00924611
да,1010460,0.00919764
та,1003937,0.00913826
ин,989720,0.00900885
ис,982522,0.00894334
ас,948582,0.0086344
ос,947743,0.00862676
не,938467,0.00854233
ва,928539,0.00845196
ли,921158,0.00838477
ак,912558,0.00830649
ма,883962,0.0080462
ка,873894,0.00795456
ав,873750,0.00795325
ед,864904,0.00787273
им,858481,0.00781426
ој,842516,0.00766894
ри,833187,0.00758403
ад,786910,0.00716279
ат,785233,0.00714753
ес,777124,0.00707372
ом,770784,0.00701601
те,768899,0.00699885
ла,765954,0.00697204
ај,749638,0.00682353
то,739754,0.00673356
ор,736433,0.00670333
ве,732474,0.00666729
ар,728832,0.00663414
за,720536,0.00655863
ро,709835,0.00646122
во,695443,0.00633022
ви,694028,0.00631734
ет,682333,0.00621089
ит,673748,0.00613275
ал,664627,0.00604972
ог,663519,0.00603964
он,635240,0.00578223
ам,634952,0.00577961
ап,631273,0.00574612
ер,626097,0.00569901
ик,623861,0.00567865
се,617774,0.00562325
са,610300,0.00555522
ек,609195,0.00554516
ем,605004,0.00550701
ја,599448,0.00545644
мо,578575,0.00526644
ди,564713,0.00514026
еп,563787,0.00513183
ск,549151,0.00499861
из,535079,0.00487052
ао,512315,0.00466331
ме,510649,0.00464815
ци,502746,0.00457621
тр,497114,0.00452495
ил,482236,0.00438952
аз,479217,0.00436204
ло,474390,0.00431811
до,471619,0.00429288
ле,467055,0.00425134
ус,464769,0.00423053
би,451701,0.00411158
ив,449524,0.00409176
ио,433348,0.00394452
аи,429198,0.00390675
оп,425520,0.00387327
де,424533,0.00386429
уп,418017,0.00380497
ип,417932,0.0038042
об,412469,0.00375447
ми,411271,0.00374357
го,406517,0.0037003
ње,398327,0.00362575
ео,389475,0.00354517
ол,383113,0.00348726
ру,383002,0.00348625
их,381136,0.00346927
ањ,379666,0.00345589
ел,378566,0.00344588
ид,373064,0.00339579
ев,372920,0.00339448
ок,371556,0.00338207
су,365888,0.00333047
ју,365064,0.00332297
ки,354613,0.00322785
от,352858,0.00321187
еи,342971,0.00312187
ау,342673,0.00311916
ир,337685,0.00307376
ку,334822,0.0030477
дн,332847,0.00302972
иц,329895,0.00300285
ез,326953,0.00297607
св,322918,0.00293934
шт,309343,0.00281578
ји,304643,0.002773
еб,302097,0.00274982
па,298738,0.00271925
еу,293115,0.00266806
уд,291897,0.00265698
ут,290405,0.0026434
ун,288124,0.00262263
др,286266,0.00260572
ич,284927,0.00259353
си,284648,0.00259099
ук,283980,0.00258491
сл,283792,0.0025832
ац,280153,0.00255008
ту,275443,0.00250721
ну,273412,0.00248872
бо,273398,0.00248859
ке,270229,0.00245975
га,261181,0.00237739
ег,259264,0.00235994
аб,258728,0.00235506
гр,254768,0.00231901
ба,250713,0.0022821
кр,239539,0.00218039
тв,235157,0.00214051
чи,235115,0.00214012
вр,234162,0.00213145
вн,231444,0.00210671
ће,229836,0.00209207
ач,228838,0.00208299
