bigram,frequency,probability
าร,713704,0.01080075
อง,636433,0.00963138
ี่,587512,0.00889104
่า,563408,0.00852627
กา,540194,0.00817496
ที,539845,0.00816968
้า,452565,0.00684884
ัน,441169,0.00667638
่อ,418438,0.00633238
รี,406282,0.00614842
าน,395153,0.00598
าย,364681,0.00551886
้อ,362344,0.00548349
าก,350848,0.00530952
ับ,343465,0.00519779
ระ,330794,0.00500604
าง,330782,0.00500586
าม,320981,0.00485753
รา,316063,0.00478311
นเ,312866,0.00473473
อน,300113,0.00454173
คร,300052,0.00454081
ด้,300009,0.00454016
งเ,290148,0.00439093
ิน,288733,0.00436951
มา,288398,0.00436444
ปร,283032,0.00428324
่น,282808,0.00427985
ือ,282175,0.00427027
ีย,271973,0.00411588
รั,270321,0.00409088
่ง,266296,0.00402997
แล,265414,0.00401662
ื่,255486,0.00386637
ฟร,254019,0.00384417
เป,242686,0.00367267
้น,235783,0.0035682
ละ,228554,0.0034588
ใน,227076,0.00343644
ได,223216,0.00337802
เล,222346,0.00336486
ขอ,217978,0.00329875
นั,216856,0.00328177
บอ,216218,0.00327212
ะเ,212380,0.00321404
กร,210090,0.00317938
นท,209689,0.00317331
มี,207343,0.00313781
็น,206327,0.00312243
ัง,204766,0.00309881
ให,204286,0.00309155
อล,202678,0.00306721
ม่,200384,0.0030325
อย,193122,0.0029226
ร์,192772,0.0029173
ห้,192637,0.00291526
กั,192453,0.00291247
นไ,187703,0.00284059
เร,187197,0.00283293
ั้,186079,0.00281601
าค,185091,0.00280106
เก,184160,0.00278697
วา,176113,0.00266519
ัก,173169,0.00262064
ต่,171377,0.00259352
ไม,170719,0.00258357
เค,170490,0.0025801
นอ,170217,0.00257597
นก,169601,0.00256665
หน,169360,0.002563
เด,167766,0.00253888
งก,167734,0.00253839
คว,166494,0.00251963
าเ,165761,0.00250853
ป็,165464,0.00250404
อก,165140,0.00249914
ีเ,162849,0.00246447
นี,159619,0.00241559
คา,158904,0.00240477
ลา,158497,0.00239861
ริ,158214,0.00239432
ดิ,157738,0.00238712
วั,156564,0.00236935
ล่,155259,0.0023496
าส,152899,0.00231389
ออ,152730,0.00231133
่ว,150716,0.00228085
ยน,150559,0.00227848
้ว,150105,0.00227161
ี้,147094,0.00222604
ว่,146950,0.00222386
้ง,146208,0.00221263
ิต,144981,0.00219406
าท,144904,0.0021929
เพ,144714,0.00219002
รื,144499,0.00218677
วิ,143206,0.0021672
จะ,142935,0.0021631
บา,142243,0.00215263
เง,141155,0.00213616
นฟ,141128,0.00213575
หล,140736,0.00212982
ิด,140682,0.00212901
นส,139921,0.00211749
่ม,139578,0.0021123
กเ,138638,0.00209807
งิ,136517,0.00206597
้เ,135823,0.00205547
าว,134264,0.00203188
งท,134153,0.0020302
สิ,133823,0.00202521
จา,133150,0.00201502
หม,130810,0.00197961
อร,130415,0.00197363
ข้,129855,0.00196516
เท,129783,0.00196407
นค,129478,0.00195945
นา,129197,0.0019552
ู้,128711,0.00194784
ตร,128065,0.00193807
งค,127988,0.0019369
วย,127505,0.00192959
น้,125735,0.00190281
นบ,123478,0.00186865
สา,122684,0.00185664
ต้,122069,0.00184733
พร,121717,0.001842
งแ,121500,0.00183872
ลอ,120930,0.00183009
เว,120868,0.00182915
อา,120822,0.00182846
กล,120333,0.00182106
ัด,120015,0.00181624
ติ,119582,0.00180969
เม,119439,0.00180753
หร,119360,0.00180633
หา,118834,0.00179837
นต,117684,0.00178097
ดี,117655,0.00178053
บร,117537,0.00177874
ลั,117435,0.0017772
ตั,116998,0.00177059
นแ,116996,0.00177056
ั่,116756,0.00176692
นน,116465,0.00176252
น์,115501,0.00174793
ุด,114694,0.00173572
ส่,114099,0.00172672
มเ,114071,0.00172629
รม,113689,0.00172051
พั,112439,0.00170159
