bigram,frequency,probability
下载,28010,0.003008
官网,27569,0.00296064
平台,23588,0.00253314
大发,22117,0.00237517
手机,21746,0.00233533
网站,20864,0.00224062
澳门,18698,0.00200802
游戏,17998,0.00193285
娱乐,17498,0.00187915
棋牌,16970,0.00182245
体育,16859,0.00181053
利来,16478,0.00176962
官方,16354,0.0017563
凯发,15094,0.001621
网址,14197,0.00152467
彩票,14086,0.00151275
中国,11078,0.00118973
百家,10519,0.0011297
公司,10309,0.00110715
快三,10294,0.00110554
彩神,10217,0.00109727
国际,10207,0.0010962
在线,10074,0.00108192
注册,10070,0.00108149
真人,9677,0.00103929
时时,9608,0.00103188
时彩,9322,0.00100116
发快,9189,0.00098688
投注,9054,0.00097238
方网,9051,0.00097206
计划,9043,0.0009712
登录,8840,0.0009494
北京,8748,0.00093952
加盟,8746,0.00093931
机版,8657,0.00092975
环亚,8274,0.00088862
怎么,7877,0.00084599
月日,7740,0.00083128
狗万,7269,0.0007807
工作,7238,0.00077737
亚游,6873,0.00073817
家乐,6713,0.00072099
我们,6627,0.00071176
开奖,6457,0.0006935
一个,6441,0.00069178
走势,6312,0.00067793
客户,6139,0.00065935
可以,6093,0.00065441
亚搏,5943,0.0006383
什么,5867,0.00063014
开户,5845,0.00062778
年月,5548,0.00059589
新闻,5488,0.00058944
发展,5434,0.00058365
分彩,5356,0.00057527
势图,5225,0.0005612
户端,5129,0.00055089
时间,5052,0.00054262
企业,4978,0.00053468
育投,4893,0.00052555
服务,4766,0.00051191
天万,4752,0.00051041
昨天,4724,0.0005074
免费,4704,0.00050525
集团,4667,0.00050128
赌钱,4617,0.00049591
争霸,4529,0.00048646
软件,4509,0.00048431
单双,4487,0.00048195
最新,4450,0.00047798
没有,4390,0.00047153
自己,4364,0.00046874
视频,4254,0.00045693
国家,4232,0.00045457
网投,4156,0.00044641
神争,4115,0.000442
分快,4111,0.00044157
早餐,4092,0.00043953
招聘,4090,0.00043932
真钱,3966,0.000426
人民,3955,0.00042482
线上,3908,0.00041977
进行,3847,0.00041322
管理,3755,0.00040334
早点,3742,0.00040195
就是,3730,0.00040066
市场,3712,0.00039873
工程,3712,0.00039873
有限,3710,0.00039851
旗舰,3706,0.00039808
直播,3691,0.00039647
牌游,3678,0.00039507
问题,3627,0.0003896
地址,3627,0.0003896
发时,3597,0.00038638
信息,3519,0.000378
世界,3514,0.00037746
载凯,3508,0.00037682
代理,3504,0.00037639
中心,3486,0.00037446
邀请,3467,0.00037242
门网,3405,0.00036576
开元,3365,0.00036146
网上,3332,0.00035792
门百,3326,0.00035727
限公,3310,0.00035556
建设,3297,0.00035416
元棋,3277,0.00035201
教育,3266,0.00035083
大全,3253,0.00034944
结果,3243,0.00034836
美国,3200,0.00034374
请码,3131,0.00033633
极速,3114,0.00033451
技巧,3092,0.00033215
他们,3070,0.00032978
闻网,3052,0.00032785
第一,3046,0.00032721
提供,3041,0.00032667
现金,3030,0.00032549
技术,3023,0.00032474
一篇,3004,0.0003227
政府,3003,0.00032259
亚洲,2995,0.00032173
香港,2992,0.00032141
赛车,2992,0.00032141
分分,2958,0.00031776
安全,2946,0.00031647
发官,2942,0.00031604
尊龙,2924,0.00031411
酒店,2896,0.0003111
版下,2876,0.00030895
经济,2864,0.00030766
发彩,2854,0.00030659
上海,2841,0.00030519
飞艇,2826,0.00030358
载利,2815,0.0003024
记者,2803,0.00030111
的一,2775,0.0002981
如何,2771,0.00029768
产品,2752,0.00029563
二手,2752,0.00029563
项目,2708,0.00029091
是一,2695,0.00028951
社会,2691,0.00028908
了一,2689,0.00028887
表示,2683,0.00028823
备用,2679,0.0002878
天气,2668,0.00028661
安卓,2663,0.00028608
戏平,2661,0.00028586
这个,2637,0.00028329
来官,2637,0.00028329
网络,2621,0.00028157
苹果,2610,0.00028039
研究,2610,0.00028039
幸运,2598,0.0002791
舰厅,2594,0.00027867
电子,2590,0.00027824
貸款,2552,0.00027416
大学,2549,0.00027384
足球,2545,0.00027341
已经,2511,0.00026975
网下,2491,0.00026761
天天,2490,0.0002675
通过,2486,0.00026707
首页,2480,0.00026643
文化,2479,0.00026632
的人,2477,0.0002661
电游,2474,0.00026578
来手,2466,0.00026492
乐官,2459,0.00026417
不是,2452,0.00026342
盟早,2443,0.00026245
餐加,2437,0.00026181
发布,2430,0.00026106
来源,2418,0.00025977
活动,2410,0.00025891
乐网,2405,0.00025837
快乐,2394,0.00025719
科技,2331,0.00025043
资料,2323,0.00024957
中央,2323,0.00024957
合作,2321,0.00024935
多少,2314,0.0002486
发分,2309,0.00024806
品牌,2301,0.0002472
奖结,2301,0.0002472
生活,2301,0.0002472
重要,2298,0.00024688
需要,2290,0.00024602
现在,2281,0.00024506
使用,2260,0.0002428
人员,2237,0.00024033
如果,2193,0.00023561
城市,2154,0.00023142
正规,2150,0.00023099
下一,2137,0.00022959
旅游,2133,0.00022916
