bigram,frequency,probability
ال,1356391,0.06248676
لم,294799,0.01358095
لا,287457,0.01324272
نا,234817,0.01081768
ما,222395,0.01024542
وا,211998,0.00976645
يا,210027,0.00967565
ات,204589,0.00942513
را,202619,0.00933437
ةا,187703,0.00864722
ية,183302,0.00844447
من,179262,0.00825835
في,169016,0.00778634
ان,166230,0.00765799
ار,155027,0.00714189
با,153033,0.00705003
لي,148972,0.00686294
ها,143830,0.00662606
لت,138280,0.00637038
ام,138172,0.0063654
عل,130208,0.00599852
ين,129678,0.0059741
ري,129466,0.00596433
دا,125595,0.005786
تا,125241,0.00576969
عا,117766,0.00542533
ول,108385,0.00499317
لى,106297,0.00489698
ني,104027,0.0047924
لأ,102834,0.00473744
لل,102394,0.00471717
لع,100781,0.00464286
قا,96863,0.00446237
اب,95925,0.00441915
ير,95039,0.00437834
بي,94977,0.00437548
دي,92511,0.00426188
سا,87208,0.00401758
مو,85556,0.00394147
يم,85125,0.00392162
لو,85003,0.003916
مي,84148,0.00387661
اس,81857,0.00377106
ون,80914,0.00372762
لك,80757,0.00372039
لس,78347,0.00360936
ور,78345,0.00360927
ةو,77866,0.00358721
يو,77033,0.00354883
كا,76717,0.00353427
لب,76322,0.00351608
اع,75850,0.00349433
وم,75664,0.00348576
يل,75060,0.00345794
مع,74354,0.00342541
اد,73254,0.00337474
نت,73116,0.00336838
رو,70518,0.00324869
ست,70132,0.00323091
سي,68982,0.00317793
له,68813,0.00317015
تم,67503,0.0031098
مل,67351,0.0031028
تو,66822,0.00307843
لف,66525,0.00306474
رة,66376,0.00305788
اف,65771,0.00303001
اء,65763,0.00302964
أن,65640,0.00302397
لح,64957,0.00299251
لق,64823,0.00298634
يد,64760,0.00298343
اي,64720,0.00298159
نو,64522,0.00297247
اا,63362,0.00291903
او,62062,0.00285914
فا,61767,0.00284555
يت,60338,0.00277972
هم,60184,0.00277262
جا,59757,0.00275295
ىا,59241,0.00272918
ةم,58288,0.00268528
دو,56445,0.00260037
مت,55381,0.00255136
مر,55327,0.00254887
تي,55303,0.00254776
رب,55129,0.00253975
مس,54321,0.00250253
وي,54046,0.00248986
لن,53722,0.00247493
ائ,53598,0.00246922
تع,53257,0.00245351
لد,52951,0.00243941
نه,52882,0.00243623
عد,52479,0.00241767
بر,51978,0.00239459
حا,51709,0.0023822
رك,51426,0.00236916
تر,51258,0.00236142
دم,51180,0.00235782
عم,50542,0.00232843
هو,50184,0.00231194
يع,49899,0.00229881
يق,49573,0.00228379
لج,49367,0.0022743
دة,47204,0.00217466
عن,47136,0.00217152
لإ,47005,0.00216549
يس,46890,0.00216019
تح,46324,0.00213412
اق,46142,0.00212573
اح,46001,0.00211924
لة,45949,0.00211684
نم,45888,0.00211403
يه,45551,0.00209851
شر,45431,0.00209298
كو,43776,0.00201673
يب,43765,0.00201623
ةل,43489,0.00200351
ته,43335,0.00199642
بع,42981,0.00198011
كل,42778,0.00197076
طا,42516,0.00195869
لش,42456,0.00195592
عر,42206,0.00194441
مة,41687,0.0019205
وق,41369,0.00190585
شا,41202,0.00189815
يف,40938,0.00188599
بو,40733,0.00187655
لر,40645,0.00187249
رم,40641,0.00187231
ذا,40140,0.00184923
يك,40128,0.00184868
اه,39709,0.00182937
وت,39322,0.00181155
اج,38783,0.00178672
قي,38068,0.00175378
إل,37629,0.00173355
وب,37489,0.0017271
سل,37477,0.00172655
بل,37473,0.00172637
ةب,37360,0.00172116
حد,37214,0.00171443
تب,37033,0.0017061
تق,37024,0.00170568
در,36893,0.00169965
ضا,36842,0.0016973
مد,36819,0.00169624
قد,36746,0.00169287
اك,36728,0.00169204
وع,36299,0.00167228
مب,36245,0.00166979
رف,35893,0.00165358
مح,35892,0.00165353
جم,35787,0.00164869
نف,35503,0.00163561
ةف,35499,0.00163543
أو,34922,0.00160885
سو,34659,0.00159673
عي,34440,0.00158664
ود,34392,0.00158443
قو,34300,0.00158019
وس,33884,0.00156103
حي,33627,0.00154919
كم,33578,0.00154693
لخ,33199,0.00152947
سب,33152,0.0015273
هذ,33136,0.00152657
نب,32948,0.00151791
تف,32946,0.00151781
مم,32857,0.00151371
عب,32698,0.00150639
لص,32662,0.00150473
صا,32576,0.00150077
سم,32163,0.00148174
ند,32124,0.00147995
كي,32115,0.00147953
كن,31666,0.00145885
تل,31479,0.00145023
حم,31221,0.00143835
عة,31130,0.00143415
أم,31087,0.00143217
فر,31029,0.0014295
نس,30718,0.00141517
خل,30287,0.00139532
زا,30112,0.00138726
يي,30089,0.0013862
وف,29913,0.00137809
بن,29301,0.0013499
كر,29288,0.0013493
زي,29202,0.00134533
مج,28963,0.00133432
مك,28927,0.00133267
رت,28470,0.00131161
خا,28439,0.00131018
تن,28429,0.00130972
هي,28177,0.00129811
مش,28046,0.00129208
بة,27134,0.00125007
تج,27025,0.00124504
ةع,26687,0.00122947
نع,26676,0.00122897
قة,26654,0.00122795
كت,26596,0.00122528
وج,26263,0.00120994
نأ,26256,0.00120962
عو,25803,0.00118875
رج,25754,0.00118649
بد,25740,0.00118585
ــ,25687,0.0011834
أس,25586,0.00117875
تك,25577,0.00117834
جي,25549,0.00117705
نة,25415,0.00117087
قر,25225,0.00116212
لط,25185,0.00116028
رس,25097,0.00115622
إن,25063,0.00115466
ةت,24787,0.00114194
لذ,24732,0.00113941
يح,24715,0.00113863
حت,24435,0.00112573
بت,24418,0.00112494
هل,24388,0.00112356
مه,24283,0.00111872
اخ,24214,0.00111555
اص,24207,0.00111522
صل,24058,0.00110836
قل,23882,0.00110025
ئي,23638,0.00108901
رق,23522,0.00108367
ءا,23484,0.00108192
تس,23415,0.00107874
جد,23348,0.00107565
ةأ,23293,0.00107312
حل,23171,0.0010675
بم,23088,0.00106367
تد,23053,0.00106206
وأ,23040,0.00106146
ثا,22931,0.00105644
به,22885,0.00105432
نق,22841,0.00105229
تص,22737,0.0010475
جو,22532,0.00103806
فو,22384,0.00103124
قب,22289,0.00102686
صر,22081,0.00101728
صو,22080,0.00101724
وك,22054,0.00101604
طر,21952,0.00101134
مص,21825,0.00100549
يج,21666,0.00099816
هر,21505,0.00099075
رع,21495,0.00099029
اط,21384,0.00098517
حر,21373,0.00098467
رد,21358,0.00098397
مق,21351,0.00098365
ره,21272,0.00098001
تت,21211,0.0009772
سع,21083,0.00097131
فت,21064,0.00097043
خر,20785,0.00095758
فة,20614,0.0009497
تخ,20599,0.00094901
جل,20565,0.00094744
قت,20345,0.00093731
عت,20222,0.00093164
كة,20078,0.00092501
هد,20063,0.00092432
وه,20052,0.00092381
بح,19975,0.00092026
صي,19970,0.00092003
اأ,19768,0.00091073
اض,19682,0.00090676
ىم,19599,0.00090294
ذي,19500,0.00089838
حو,19492,0.00089801
تش,19336,0.00089082
نك,19236,0.00088622
لغ,19130,0.00088133
يأ,19096,0.00087977
مف,18638,0.00085867
دع,18633,0.00085844
شي,18618,0.00085775
جه,18564,0.00085526
لث,18365,0.00084609
سر,18112,0.00083444
از,18068,0.00083241
ذه,17942,0.0008266
فع,17933,0.00082619
جر,17931,0.0008261
نل,17895,0.00082444
غي,17863,0.00082297
وح,17798,0.00081997
وض,17750,0.00081776
طل,17614,0.00081149
فل,17495,0.00080601
تأ,17438,0.00080339
كب,17418,0.00080246
نج,17354,0.00079952
وز,17315,0.00079772
طي,17238,0.00079417
دل,17176,0.00079132
رح,17148,0.00079003
رض,17106,0.00078809
طو,17059,0.00078593
فق,16938,0.00078035
قع,16789,0.00077349
اش,16713,0.00076999
رأ,16627,0.00076602
نح,16481,0.0007593
نش,16415,0.00075626
قم,16321,0.00075193
أي,16235,0.00074797
سن,16183,0.00074557
رن,16126,0.00074294
دف,16065,0.00074013
يز,16017,0.00073792
أخ,16012,0.00073769
حق,15976,0.00073603
ده,15847,0.00073009
يخ,15787,0.00072733
حة,15641,0.0007206
هن,15628,0.00072
طب,15627,0.00071996
أك,15520,0.00071503
ضي,15478,0.00071309
ذل,15438,0.00071125
نظ,15434,0.00071107
بق,15217,0.00070107
هب,15121,0.00069665
دت,14867,0.00068494
يش,14725,0.0006784
جن,14577,0.00067158
دد,14503,0.00066818
أح,14399,0.00066338
قط,14375,0.00066228
خي,14296,0.00065864
يط,14161,0.00065242
سط,14044,0.00064703
خد,13977,0.00064394
دق,13947,0.00064256
ثل,13711,0.00063169
فن,13703,0.00063132
شك,13673,0.00062994
ضو,13663,0.00062948
دأ,13663,0.00062948
بأ,13579,0.00062561
مخ,13493,0.00062165
وص,13486,0.00062132
تط,13438,0.00061911
أر,13426,0.00061856
ةإ,13362,0.00061561
فس,13259,0.00061087
سك,13258,0.00061082
نن,13150,0.00060585
دب,13072,0.00060225
غا,12899,0.00059428
وو,12852,0.00059212
نط,12797,0.00058958
غر,12771,0.00058839
نص,12769,0.00058829
ةك,12747,0.00058728
حس,12716,0.00058585
كس,12686,0.00058447
صف,12635,0.00058212
يث,12587,0.00057991
أع,12563,0.0005788
حب,12523,0.00057696
بك,12486,0.00057526
ىأ,12397,0.00057116
ثي,12371,0.00056996
بط,12330,0.00056807
خب,12262,0.00056494
كث,12245,0.00056415
رل,12239,0.00056388
حك,12229,0.00056342
أب,12226,0.00056328
دن,12222,0.00056309
بب,12152,0.00055987
طة,12122,0.00055849
خت,12086,0.00055683
صح,12069,0.00055605
اث,12015,0.00055356
er,11946,0.00055038
لز,11830,0.00054503
بس,11691,0.00053863
فى,11670,0.00053766
مث,11630,0.00053582
وط,11596,0.00053425
in,11563,0.00053273
صد,11561,0.00053264
سة,11519,0.00053071
خط,11282,0.00051979
رى,11164,0.00051435
ثم,11159,0.00051412
يض,11098,0.00051131
عه,11049,0.00050906
رئ,11012,0.00050735
جب,10989,0.00050629
اة,10968,0.00050532
زو,10960,0.00050496
هف,10951,0.00050454
عض,10941,0.00050408
عق,10924,0.0005033
إس,10883,0.00050141
شع,10875,0.00050104
فه,10847,0.00049975
بش,10800,0.00049758
مأ,10739,0.00049477
أل,10719,0.00049385
فض,10671,0.00049164
ظا,10652,0.00049077
شه,10610,0.00048883
سه,10598,0.00048828
خص,10536,0.00048542
an,10526,0.00048496
ثر,10363,0.00047745
طن,10288,0.000474
ةح,10181,0.00046907
جت,10179,0.00046898
دى,10081,0.00046446
مط,9867,0.0004546
زم,9836,0.00045317
مؤ,9803,0.00045165
هع,9743,0.00044889
قف,9739,0.00044871
صب,9700,0.00044691
صة,9649,0.00044456
on,9646,0.00044442
فم,9609,0.00044272
كف,9569,0.00044087
تى,9531,0.00043912
يص,9381,0.00043221
نخ,9363,0.00043138
صن,9181,0.000423
ىت,9176,0.00042277
جع,9149,0.00042153
دس,9133,0.00042079
te,9126,0.00042047
ar,9040,0.0004165
ةس,9004,0.00041485
قص,8957,0.00041268
ةن,8932,0.00041153
سف,8902,0.00041015
ىو,8887,0.00040946
ةي,8827,0.00040669
جز,8826,0.00040665
هه,8801,0.00040549
ضم,8769,0.00040402
اإ,8658,0.00039891
دك,8555,0.00039416
ضل,8535,0.00039324
أج,8532,0.0003931
هت,8459,0.00038974
طف,8409,0.00038743
ضع,8364,0.00038536
ضر,8349,0.00038467
جة,8333,0.00038393
أف,8267,0.00038089
اذ,8221,0.00037877
نز,8189,0.0003773
رش,8179,0.00037684
لآ,8127,0.00037444
حف,8112,0.00037375
وإ,8111,0.00037371
re,8088,0.00037265
حص,8073,0.00037196
رر,7927,0.00036523
فك,7919,0.00036486
es,7906,0.00036426
تغ,7904,0.00036417
وى,7896,0.0003638
شب,7830,0.00036076
طع,7775,0.00035823
ةش,7763,0.00035767
ةق,7749,0.00035703
or,7733,0.00035629
al,7699,0.00035473
at,7684,0.00035404
إي,7667,0.00035325
مز,7616,0.0003509
شو,7550,0.00034786
ىب,7533,0.00034708
نإ,7507,0.00034588
سج,7500,0.00034556
دخ,7450,0.00034326
ةج,7435,0.00034256
أه,7420,0.00034187
نر,7413,0.00034155
en,7399,0.00034091
أص,7376,0.00033985
يإ,7326,0.00033754
عف,7273,0.0003351
ra,7211,0.00033225
بف,7210,0.0003322
ةه,7187,0.00033114
خو,7162,0.00032999
شف,7160,0.0003299
ئل,7157,0.00032976
قه,7154,0.00032962
طق,7135,0.00032874
ذك,7128,0.00032842
ءو,7121,0.0003281
st,7114,0.00032778
إذ,7066,0.00032557
وش,7066,0.00032557
إع,7037,0.00032423
رص,7008,0.00032289
نى,6960,0.00032068
le,6953,0.00032036
نذ,6923,0.00031898
زل,6915,0.00031861
زة,6900,0.00031792
عش,6889,0.00031741
شم,6843,0.00031529
لض,6806,0.00031359
دث,6806,0.00031359
أد,6773,0.00031207
ئة,6702,0.0003088
أق,6693,0.00030838
وة,6679,0.00030774
فح,6631,0.00030553
قن,6610,0.00030456
ثن,6599,0.00030405
صم,6594,0.00030382
