bigram,frequency,probability
en,852145,0.03276687
er,819390,0.03150737
ch,584314,0.02246818
ei,438272,0.01685255
te,437996,0.01684194
in,418223,0.01608162
de,414842,0.01595162
nd,393720,0.01513943
ie,377374,0.01451089
un,302495,0.01163163
ge,290883,0.01118512
ne,277107,0.01065541
es,267941,0.01030295
st,257057,0.00988444
re,253336,0.00974136
an,236008,0.00907506
he,221831,0.00852992
be,219731,0.00844917
ng,216689,0.0083322
ic,213727,0.00821831
le,196582,0.00755904
it,196539,0.00755739
se,191331,0.00735713
el,191123,0.00734913
au,170367,0.00655102
is,168397,0.00647527
on,168054,0.00646208
sc,157986,0.00607494
di,155753,0.00598908
li,153600,0.00590629
ra,151326,0.00581885
ti,149328,0.00574202
al,147486,0.0056712
ns,142007,0.00546052
nt,141718,0.0054494
ar,133108,0.00511833
as,132398,0.00509103
si,128521,0.00494195
me,124555,0.00478945
ll,122134,0.00469636
ss,120984,0.00465214
ri,120721,0.00464202
rt,119995,0.00461411
or,118499,0.00455658
ni,117780,0.00452894
ht,115159,0.00442815
at,115013,0.00442254
et,111530,0.00428861
em,110164,0.00423608
ha,109986,0.00422924
rd,109761,0.00422059
ta,108733,0.00418106
us,106419,0.00409208
na,105333,0.00405032
rs,102035,0.00392351
da,101365,0.00389774
hr,100073,0.00384806
nn,98774,0.00379811
ed,97366,0.00374397
ig,95551,0.00367418
we,93812,0.00360731
la,93565,0.00359782
ts,88362,0.00339775
ur,88315,0.00339594
mi,85792,0.00329893
zu,84579,0.00325228
eh,83940,0.00322771
ma,81136,0.00311989
nu,75183,0.00289099
eb,73745,0.00283569
wi,73137,0.00281232
ro,73111,0.00281132
ke,73103,0.00281101
il,72105,0.00277263
ac,72079,0.00277163
ru,72017,0.00276925
eg,70805,0.00272264
uf,70108,0.00269584
vo,70099,0.0026955
ve,69997,0.00269158
eu,69751,0.00268212
tu,69740,0.00268169
lt,68399,0.00263013
tr,67034,0.00257764
rn,66229,0.00254669
am,65886,0.0025335
ut,65574,0.0025215
ol,64479,0.0024794
fe,64164,0.00246728
ab,62651,0.00240911
im,62565,0.0024058
tz,61972,0.002383
tt,61883,0.00237957
ir,60948,0.00234362
ag,60624,0.00233116
ze,60328,0.00231978
um,59674,0.00229463
so,59143,0.00227422
td,58907,0.00226514
sa,58576,0.00225241
uc,57827,0.00222361
hi,56152,0.00215921
nk,56041,0.00215494
rg,54628,0.0021006
ea,54432,0.00209307
ck,54071,0.00207919
ür,53888,0.00207215
mm,53650,0.002063
om,52949,0.00203604
hl,52933,0.00203543
nz,52105,0.00200359
hn,51724,0.00198894
nS,51288,0.00197217
io,50374,0.00193703
to,49442,0.00190119
kt,48935,0.0018817
ls,48194,0.0018532
fü,47771,0.00183694
rk,47479,0.00182571
ah,47134,0.00181244
rb,47074,0.00181014
wa,46543,0.00178972
Be,45768,0.00175992
sp,44732,0.00172008
ee,44663,0.00171743
ec,44503,0.00171128
rm,43953,0.00169013
os,43565,0.00167521
no,43456,0.00167102
nw,42871,0.00164852
ot,42144,0.00162057
du,41087,0.00157992
ef,41075,0.00157946
ew,40886,0.00157219
ga,40575,0.00156024
ue,40543,0.001559
ka,40536,0.00155874
St,40277,0.00154878
tw,40231,0.00154701
od,39538,0.00152036
nf,39517,0.00151955
bi,38799,0.00149194
ld,38586,0.00148375
gs,38177,0.00146803
ad,37971,0.00146011
ft,37675,0.00144872
lo,37542,0.00144361
th,36838,0.00141654
ek,36803,0.00141519
gi,36574,0.00140639
oc,36490,0.00140316
Di,36137,0.00138958
fa,35666,0.00137147
lu,35657,0.00137113
nb,35487,0.00136459
rf,35483,0.00136444
pe,35377,0.00136036
id,35239,0.00135505
Ge,35129,0.00135082
rl,35060,0.00134817
ko,34650,0.00133241
ho,33894,0.00130334
eS,33691,0.00129553
nl,33599,0.00129199
nD,33251,0.00127861
Sc,32637,0.001255
Si,32594,0.00125335
nm,32503,0.00124985
pr,32333,0.00124331
pi,32262,0.00124058
ba,31631,0.00121632
Da,31329,0.00120471
rz,30933,0.00118948
Au,30628,0.00117775
sd,30431,0.00117018
su,30133,0.00115872
hm,30124,0.00115837
De,29951,0.00115172
nA,29352,0.00112869
rw,29108,0.0011193
Ma,28991,0.00111481
Ve,28455,0.0010942
We,28323,0.00108912
rh,28256,0.00108654
ik,28179,0.00108358
gu,27948,0.0010747
gr,27863,0.00107143
pa,27544,0.00105917
tl,27534,0.00105878
gl,27423,0.00105451
af,27136,0.00104348
zi,27129,0.00104321
An,26983,0.00103759
rS,26936,0.00103579
nB,26922,0.00103525
hd,26848,0.0010324
Pr,26801,0.0010306
hs,26685,0.00102613
fo,26664,0.00102533
ff,26540,0.00102056
nh,26381,0.00101445
Re,26225,0.00100845
dd,25832,0.00099334
hu,25738,0.00098972
eA,25703,0.00098837
ez,24977,0.00096046
In,24974,0.00096034
vi,24516,0.00094273
of,24339,0.00093593
ul,24262,0.00093297
ia,24232,0.00093181
fi,24179,0.00092977
ev,24149,0.00092862
gt,24024,0.00092381
nv,23769,0.00091401
rr,23640,0.00090905
iv,22753,0.00087494
sg,22636,0.00087044
tm,22509,0.00086556
hw,22455,0.00086348
oh,22339,0.00085902
rc,22235,0.00085502
ds,22132,0.00085106
ob,21693,0.00083418
kl,21690,0.00083407
eB,21638,0.00083207
fr,21323,0.00081995
nM,21276,0.00081815
ug,21239,0.00081672
Ha,21130,0.00081253
Mi,21064,0.00081
mp,21007,0.0008078
Ei,20959,0.00080596
ai,20913,0.00080419
op,20856,0.000802
sw,20724,0.00079692
og,20655,0.00079427
wo,20524,0.00078923
do,20508,0.00078862
sb,20011,0.0007695
bl,19944,0.00076693
än,19777,0.00076051
Sp,19682,0.00075685
Wi,19596,0.00075355
ep,19570,0.00075255
nE,19480,0.00074909
lb,19461,0.00074836
Se,19401,0.00074605
Fr,19368,0.00074478
nW,19289,0.00074174
Ba,19289,0.00074174
Me,19276,0.00074124
rv,19117,0.00073513
tg,19100,0.00073448
ou,19093,0.00073421
üb,19044,0.00073232
Ko,19024,0.00073155
nF,18989,0.00073021
sh,18911,0.00072721
ib,18882,0.00072609
eM,18857,0.00072513
nK,18822,0.00072379
ub,18589,0.00071483
ak,18491,0.00071106
rü,18456,0.00070971
br,18277,0.00070283
po,18242,0.00070148
mu,18156,0.00069818
ku,18155,0.00069814
ih,17961,0.00069068
tn,17868,0.0006871
sm,17712,0.0006811
bu,17652,0.0006788
ow,17606,0.00067703
eF,17586,0.00067626
rA,17557,0.00067514
je,17388,0.00066864
bs,17311,0.00066568
ät,17273,0.00066422
eD,17095,0.00065738
mb,17043,0.00065538
nG,17025,0.00065469
nP,16983,0.00065307
ße,16983,0.00065307
eK,16896,0.00064973
Un,16892,0.00064957
dr,16792,0.00064573
Ka,16716,0.00064281
rB,16539,0.000636
Le,16523,0.00063538
tb,16507,0.00063477
Gr,16499,0.00063446
ud,16305,0.000627
co,16243,0.00062462
ön,16181,0.00062223
mo,16147,0.00062093
pp,16079,0.00061831
bo,16064,0.00061773
Te,16025,0.00061623
eE,15855,0.0006097
nT,15785,0.00060701
tv,15740,0.00060528
eP,15724,0.00060466
gd,15709,0.00060408
Er,15701,0.00060378
zt,15681,0.00060301
Fa,15660,0.0006022
üc,15545,0.00059778
if,15519,0.00059678
sk,15492,0.00059574
tD,15469,0.00059486
eG,15340,0.00058989
Ho,15323,0.00058924
Wa,15222,0.00058536
tf,15200,0.00058451
oo,15153,0.0005827
So,15117,0.00058132
ce,15059,0.00057909
fd,15049,0.00057871
nH,14853,0.00057117
ap,14794,0.0005689
pl,14766,0.00056782
rä,14738,0.00056675
eW,14714,0.00056582
tä,14707,0.00056555
He,14698,0.00056521
Pa,14676,0.00056436
La,14649,0.00056332
ms,14563,0.00056002
lg,14481,0.00055686
Al,14401,0.00055379
üh,14322,0.00055075
sS,14221,0.00054687
nc,14212,0.00054652
nI,14064,0.00054083
sz,14059,0.00054064
Mo,14014,0.00053891
Ar,13896,0.00053437
sf,13879,0.00053372
ün,13780,0.00052991
Ja,13753,0.00052887
Vo,13721,0.00052764
eo,13710,0.00052722
Li,13652,0.00052499
ca,13342,0.00051307
fl,13290,0.00051107
Na,13121,0.00050457
ua,13039,0.00050142
hä,13003,0.00050003
rK,12997,0.0004998
dl,12981,0.00049919
lä,12953,0.00049811
äh,12949,0.00049796
lf,12884,0.00049546
eT,12820,0.000493
sl,12815,0.0004928
rM,12703,0.0004885
iz,12698,0.0004883
ki,12635,0.00048588
tS,12498,0.00048061
mt,12467,0.00047942
rD,12444,0.00047854
sv,12434,0.00047815
zw,12420,0.00047761
pf,12387,0.00047635
up,12352,0.000475
Ta,12345,0.00047473
eH,12150,0.00046723
ln,12109,0.00046566
nL,12088,0.00046485
bt,12053,0.0004635
rF,12023,0.00046235
eL,12020,0.00046223
ks,11923,0.0004585
nR,11908,0.00045793
Sa,11852,0.00045577
ok,11754,0.00045201
pt,11725,0.00045089
Ab,11657,0.00044828
nV,11644,0.00044778
är,11644,0.00044778
gn,11602,0.00044616
eR,11585,0.00044551
Bi,11575,0.00044512
Zu,11469,0.00044105
lm,11459,0.00044066
Tr,11389,0.00043797
uk,11344,0.00043624
rW,11335,0.00043589
mS,11241,0.00043228
eV,11239,0.0004322
Co,11210,0.00043109
dw,11199,0.00043066
Fo,11174,0.0004297
rp,11160,0.00042916
rE,11120,0.00042763
dt,11089,0.00042643
hö,11045,0.00042474
fu,11009,0.00042336
Ne,11005,0.0004232
Ih,10970,0.00042186
Fe,10936,0.00042055
rP,10933,0.00042044
rG,10895,0.00041897
tü,10865,0.00041782
wu,10752,0.00041348
ex,10702,0.00041155
kr,10701,0.00041152
ör,10518,0.00040448
md,10474,0.00040279
kö,10461,0.00040229
hb,10297,0.00039598
Ki,10269,0.0003949
eI,10257,0.00039444
En,10201,0.00039229
Wo,10170,0.0003911
sB,10160,0.00039071
nr,10044,0.00038625
sn,9954,0.00038279
nN,9911,0.00038114
Po,9856,0.00037902
Br,9796,0.00037672
rH,9792,0.00037656
ay,9783,0.00037622
ip,9762,0.00037541
sA,9658,0.00037141
uh,9648,0.00037103
tA,9605,0.00036937
aa,9554,0.00036741
tp,9540,0.00036687
lz,9439,0.00036299
Ra,9426,0.00036249
go,9364,0.0003601
ov,9350,0.00035957
rT,9315,0.00035822
Ca,9285,0.00035707
va,9208,0.00035411
Bu,9172,0.00035272
np,9165,0.00035245
Th,9163,0.00035238
tk,9158,0.00035218
Fi,8998,0.00034603
za,8983,0.00034545
hk,8946,0.00034403
rV,8942,0.00034388
lk,8922,0.00034311
Ch,8849,0.0003403
Ze,8794,0.00033819
Hi,8789,0.00033799
äu,8752,0.00033657
db,8723,0.00033546
hg,8717,0.00033523
Ku,8668,0.00033334
Do,8522,0.00032773
rR,8423,0.00032392
Ga,8338,0.00032065
nU,8332,0.00032042
Bo,8301,0.00031923
Ro,8259,0.00031761
gv,8235,0.00031669
Kr,8190,0.00031496
dn,8183,0.00031469
gh,8139,0.000313
