bigram,frequency,probability
ου,369435,0.01640429
το,339973,0.01509607
τη,258088,0.01146008
αι,243982,0.01083373
στ,236495,0.01050128
να,234833,0.01042748
ικ,231238,0.01026785
κα,228203,0.01013308
τα,225403,0.01000875
ια,213084,0.00946174
ατ,210734,0.00935739
πο,196146,0.00870963
ει,191649,0.00850995
αν,176990,0.00785904
τι,168067,0.00746283
απ,153053,0.00679615
με,147479,0.00654864
ρο,146681,0.00651321
ντ,140262,0.00622818
ισ,132394,0.00587882
εί,132375,0.00587797
ετ,125445,0.00557026
μα,124799,0.00554157
ης,123997,0.00550596
τε,122725,0.00544948
ασ,119018,0.00528487
ερ,118722,0.00527173
ρι,117027,0.00519647
ρα,116572,0.00517626
νο,114798,0.00509749
ον,114557,0.00508679
ση,112104,0.00497787
σε,111316,0.00494288
ην,108906,0.00483586
νε,108904,0.00483578
ία,104032,0.00461944
ων,103153,0.00458041
εν,96052,0.0042651
ότ,95303,0.00423184
ού,94170,0.00418153
αρ,94106,0.00417869
οι,93936,0.00417114
ιο,93576,0.00415516
ας,93012,0.00413011
ακ,92242,0.00409592
ιτ,91303,0.00405423
υν,89249,0.00396302
πρ,88023,0.00390858
δι,87268,0.00387506
λο,83598,0.0037121
ςτ,79593,0.00353426
ητ,77978,0.00346255
πα,77002,0.00341921
κο,76840,0.00341202
ος,76422,0.00339346
γι,74835,0.00332299
ες,74011,0.0032864
αλ,73875,0.00328036
ολ,72095,0.00320132
οπ,72062,0.00319986
αμ,71948,0.0031948
πό,71137,0.00315878
ημ,70802,0.00314391
επ,70566,0.00313343
ορ,69475,0.00308499
ίν,69255,0.00307522
ησ,68545,0.00304369
μο,67421,0.00299378
ις,65690,0.00291692
ιν,65276,0.00289853
λε,65201,0.0028952
οσ,64959,0.00288446
πε,64676,0.00287189
υτ,62692,0.0027838
ρε,62290,0.00276595
ών,61245,0.00271954
έν,60808,0.00270014
κή,60241,0.00267496
κό,59181,0.00262789
λλ,58965,0.0026183
ομ,58179,0.0025834
αγ,57873,0.00256981
νι,57440,0.00255059
τρ,57410,0.00254926
κά,56498,0.00250876
ρί,56481,0.002508
ςκ,55817,0.00247852
πι,54946,0.00243985
μέ,54787,0.00243278
ιμ,54227,0.00240792
οτ,53737,0.00238616
ςπ,53382,0.0023704
τω,53201,0.00236236
δε,51675,0.0022946
κε,51519,0.00228767
εσ,50713,0.00225188
υς,50410,0.00223843
εκ,50334,0.00223506
λι,50071,0.00222338
υπ,49893,0.00221547
τά,49489,0.00219753
υμ,49230,0.00218603
συ,49026,0.00217698
ευ,48768,0.00216552
λα,48169,0.00213892
ελ,47772,0.00212129
λη,47701,0.00211814
θε,47426,0.00210593
υσ,47269,0.00209896
άτ,47173,0.0020947
νη,47161,0.00209416
οκ,46921,0.00208351
άν,46600,0.00206925
ρά,45999,0.00204257
ςσ,44847,0.00199141
χε,44791,0.00198893
ςα,44509,0.0019764
ές,44100,0.00195824
ίο,44061,0.00195651
άσ,43365,0.00192561
έρ,43211,0.00191877
υρ,42805,0.00190074
ςε,42448,0.00188489
σι,42426,0.00188391
σα,42017,0.00186575
ιε,41643,0.00184914
ογ,41555,0.00184524
μι,41108,0.00182539
ής,40804,0.00181189
ρό,40666,0.00180576
ιδ,40337,0.00179115
νπ,39377,0.00174853
τή,39013,0.00173236
σμ,38932,0.00172877
ιπ,38811,0.00172339
ιά,38664,0.00171687
αα,38551,0.00171185
αυ,38506,0.00170985
ργ,38150,0.00169404
τό,38097,0.00169169
αφ,38083,0.00169107
σο,37640,0.0016714
αε,36644,0.00162717
άλ,36498,0.00162069
αδ,36389,0.00161585
ήσ,35700,0.00158525
ίσ,35276,0.00156643
οδ,34531,0.00153335
νκ,34459,0.00153015
μπ,34144,0.00151616
γο,34094,0.00151394
ηκ,33897,0.00150519
όν,33842,0.00150275
ως,33300,0.00147868
αθ,33275,0.00147757
λά,32921,0.00146186
αί,32879,0.00145999
θα,32713,0.00145262
δο,32622,0.00144858
ήτ,32553,0.00144552
άρ,32083,0.00142465
ρω,31774,0.00141092
νσ,31763,0.00141044
ςμ,31698,0.00140755
κτ,31629,0.00140449
όσ,31598,0.00140311
εμ,31539,0.00140049
κρ,31529,0.00140005
όμ,31395,0.0013941
ωσ,31266,0.00138837
γε,31168,0.00138402
ίτ,31076,0.00137993
φο,30348,0.00134761
νω,30218,0.00134183
χο,30128,0.00133784
er,30038,0.00133384
οί,29899,0.00132767
ός,28712,0.00127496
