bigram,frequency,probability
th,368401,0.02160687
in,326456,0.01914678
he,314319,0.01843495
er,278412,0.01632899
an,266932,0.01565569
re,244990,0.01436878
es,222422,0.01304516
on,213006,0.01249291
st,192937,0.01131586
at,191338,0.01122208
nt,188324,0.01104531
or,185721,0.01089264
nd,184608,0.01082736
ti,184056,0.01079499
en,183302,0.01075077
to,180233,0.01057077
ea,170608,0.01000626
ou,162187,0.00951237
te,160312,0.0094024
ng,156466,0.00917683
ed,151765,0.00890111
ar,150330,0.00881695
it,145323,0.00852329
al,143988,0.00844499
is,133310,0.00781872
et,132543,0.00777374
ha,128841,0.00755661
se,119157,0.00698865
ve,116677,0.00684319
le,116391,0.00682642
as,114574,0.00671985
ro,111336,0.00652994
of,109211,0.00640531
ra,106372,0.0062388
si,102753,0.00602655
ta,102733,0.00602537
me,101366,0.0059452
ne,101115,0.00593048
sa,100595,0.00589998
de,99148,0.00581511
ri,98455,0.00577447
ll,96368,0.00565207
ec,95965,0.00562843
co,93944,0.0055099
ur,93900,0.00550732
li,90073,0.00528286
io,89935,0.00527477
hi,88458,0.00518814
om,87429,0.00512779
el,87050,0.00510556
ic,85490,0.00501407
so,85092,0.00499073
ce,81425,0.00477565
rt,79459,0.00466035
di,79215,0.00464604
na,76028,0.00445912
la,75582,0.00443296
rs,75184,0.00440962
ma,73839,0.00433073
ns,73686,0.00432176
ot,73306,0.00429947
fo,72874,0.00427414
ca,72864,0.00427355
ts,72406,0.00424669
ss,71968,0.004221
ee,70825,0.00415396
il,70596,0.00414053
yo,70468,0.00413302
ac,69264,0.00406241
ch,68957,0.0040444
tt,68534,0.00401959
ho,67445,0.00395572
be,67119,0.0039366
us,66263,0.0038864
em,65683,0.00385238
lo,64306,0.00377162
no,62116,0.00364318
wi,61645,0.00361555
pe,60771,0.00356429
ni,60365,0.00354048
ut,59702,0.0035016
da,57950,0.00339884
ei,57479,0.00337122
tr,57326,0.00336224
nc,56737,0.0033277
ge,56673,0.00332394
pr,56666,0.00332353
ct,55160,0.00323521
ow,54736,0.00321034
ly,54013,0.00316793
eo,50765,0.00297744
ew,50169,0.00294248
ep,49707,0.00291539
os,49383,0.00289638
ie,49112,0.00288049
ad,49051,0.00287691
un,48955,0.00287128
ol,48737,0.0028585
dt,48394,0.00283838
sh,47937,0.00281158
do,46234,0.00271169
wa,46181,0.00270859
oo,45968,0.00269609
ai,44718,0.00262278
we,44498,0.00260988
ef,44443,0.00260665
pa,43867,0.00257287
am,43768,0.00256706
mo,43371,0.00254378
po,41826,0.00245316
id,41668,0.0024439
ft,41351,0.0024253
op,41232,0.00241833
ul,40988,0.00240401
Th,40670,0.00238536
pl,40505,0.00237569
fi,39855,0.00233756
su,39780,0.00233317
vi,39741,0.00233088
ke,39650,0.00232554
ir,39520,0.00231792
ay,39333,0.00230695
mi,38547,0.00226085
ev,37576,0.0022039
sp,37419,0.00219469
ab,37355,0.00219094
wh,37206,0.0021822
ry,37043,0.00217264
ga,36118,0.00211839
iv,36063,0.00211516
ig,36048,0.00211428
ty,35982,0.00211041
im,35425,0.00207774
ds,34826,0.00204261
fe,34649,0.00203223
ia,34386,0.00201681
ld,33926,0.00198983
gh,33925,0.00198977
od,33897,0.00198813
av,33851,0.00198543
mp,33479,0.00196361
tu,33140,0.00194373
ag,32176,0.00188719
ls,31988,0.00187616
sc,31788,0.00186443
eb,31687,0.00185851
ci,31495,0.00184725
ap,31492,0.00184707
ht,31264,0.0018337
rd,30939,0.00181464
sw,30051,0.00176256
oc,29956,0.00175699
wo,29780,0.00174666
ey,29663,0.0017398
ov,29559,0.0017337
bl,29180,0.00171147
rm,28692,0.00168285
tw,28420,0.0016669
uc,27992,0.0016418
