bigram,freq,prob
en,436015,0.03367255
er,424675,0.03279679
ch,297836,0.02300129
ei,235251,0.01816799
te,231006,0.01784016
de,224057,0.0173035
in,223792,0.01728304
nd,213542,0.01649145
ie,190208,0.01468942
un,167204,0.01291287
ge,164566,0.01270914
ne,155167,0.01198328
es,153730,0.0118723
st,151626,0.01170982
re,147241,0.01137117
an,144102,0.01112876
be,141983,0.01096511
he,119150,0.00920177
ng,117509,0.00907504
ic,110597,0.00854124
le,109056,0.00842223
se,108396,0.00837126
el,105709,0.00816375
au,105110,0.00811749
it,99773,0.00770532
sc,97313,0.00751534
ra,97271,0.0075121
ns,97097,0.00749866
di,96079,0.00742005
on,95268,0.00735741
is,86821,0.00670507
al,84964,0.00656166
li,84958,0.0065612
si,83356,0.00643748
ti,81324,0.00628055
ar,80194,0.00619328
nt,79600,0.00614741
na,77175,0.00596013
me,75145,0.00580336
ur,74547,0.00575718
ha,74402,0.00574598
as,73830,0.0057018
ta,73776,0.00569763
da,69509,0.0053681
ss,69110,0.00533729
or,69006,0.00532926
ni,68849,0.00531713
at,68363,0.0052796
ri,67083,0.00518075
em,65994,0.00509665
rs,65133,0.00503015
rt,65029,0.00502212
la,64068,0.00494791
et,63731,0.00492188
ma,62947,0.00486133
ll,62265,0.00480867
we,61829,0.00477499
rd,61272,0.00473198
ht,59106,0.0045647
us,59031,0.00455891
ed,57868,0.00446909
mi,55518,0.00428761
nn,54082,0.00417671
ts,51541,0.00398047
hr,51140,0.00394951
ru,50796,0.00392294
eb,50434,0.00389498
ve,49327,0.00380949
zu,48945,0.00377999
eh,48669,0.00375868
ig,48585,0.00375219
nu,47391,0.00365998
ro,47387,0.00365967
wi,46064,0.0035575
tu,44059,0.00340266
eu,44043,0.00340142
eg,43573,0.00336512
sa,43506,0.00335995
vo,42673,0.00329562
ab,42116,0.0032526
ac,41927,0.00323801
ea,41431,0.0031997
tr,40683,0.00314194
so,40129,0.00309915
ke,39580,0.00305675
fe,38764,0.00299373
nk,38541,0.00297651
am,38219,0.00295165
sp,37878,0.00292531
td,37343,0.00288399
uc,37130,0.00286754
wa,36537,0.00282175
il,36530,0.00282121
uf,36515,0.00282005
ut,36396,0.00281086
rn,36190,0.00279495
im,35580,0.00274784
ol,35566,0.00274676
ag,35517,0.00274298
lt,35422,0.00273564
ze,34829,0.00268984
ko,34691,0.00267919
fu,34407,0.00265725
tt,34189,0.00264042
um,33544,0.00259061
hi,33351,0.0025757
rg,33240,0.00256713
rb,32516,0.00251122
tz,32420,0.0025038
ho,32198,0.00248666
to,31954,0.00246781
nb,31380,0.00242349
ah,31202,0.00240974
ir,31170,0.00240727
ka,30999,0.00239406
rk,30913,0.00238742
nw,30752,0.00237499
pr,30642,0.00236649
ee,30587,0.00236224
no,30322,0.00234178
mm,30252,0.00233637
ef,29893,0.00230865
nz,29885,0.00230803
fa,29821,0.00230309
nf,29588,0.00228509
rm,29307,0.00226339
os,28462,0.00219813
ew,28378,0.00219165
ek,28315,0.00218678
ba,28279,0.002184
ga,27898,0.00215458
hl,27854,0.00215118
om,27618,0.00213295
nm,27522,0.00212554
ck,27189,0.00209982
hn,27013,0.00208623
du,26957,0.00208191
ec,26846,0.00207333
bi,26829,0.00207202
ls,26730,0.00206438
io,25750,0.00198869
kt,25281,0.00195247
th,24957,0.00192745
ub,24864,0.00192027
lo,24654,0.00190405
nl,24573,0.0018978
ot,24319,0.00187818
rf,24143,0.00186459
tw,23980,0.001852
ad,23741,0.00183354
pa,23524,0.00181678
gr,23491,0.00181424
lu,23044,0.00177971
pe,22206,0.001715
gs,22200,0.00171453
