bigram,freq,prob
de,363406,0.02304598
es,353236,0.02240104
en,331609,0.02102953
os,268241,0.01701096
as,260274,0.01650572
ra,244797,0.01552422
on,244545,0.01550824
er,234836,0.01489253
el,230948,0.01464597
la,229239,0.01453759
ar,228621,0.0144984
re,213245,0.0135233
ad,199414,0.01264619
an,197301,0.01251219
al,196394,0.01245467
nt,179948,0.01141173
co,179817,0.01140342
or,178202,0.011301
se,176626,0.01120106
ta,172839,0.0109609
ci,168040,0.01065656
te,166092,0.01053303
io,151959,0.00963676
ue,151696,0.00962009
ac,151412,0.00960208
st,150322,0.00953295
na,145745,0.00924269
ca,138509,0.00878381
in,136024,0.00862622
do,131099,0.0083139
to,126122,0.00799827
ne,122979,0.00779896
ti,121788,0.00772343
ro,118848,0.00753698
ma,118352,0.00750553
le,116426,0.00738339
ic,116211,0.00736975
no,115777,0.00734223
ec,113374,0.00718984
lo,113045,0.00716898
ri,112861,0.00715731
ia,109088,0.00691804
da,107295,0.00680433
sa,104228,0.00660983
pa,102227,0.00648294
nd,101744,0.00645231
po,101052,0.00640842
qu,100855,0.00639593
am,99166,0.00628882
od,95865,0.00607948
un,95103,0.00603116
sp,94962,0.00602222
si,94584,0.00599825
at,93563,0.0059335
ie,90956,0.00576817
id,89301,0.00566322
li,88542,0.00561508
sd,87405,0.00554298
om,87263,0.00553397
tr,86568,0.0054899
me,85213,0.00540397
is,85076,0.00539528
ed,81812,0.00518829
nc,79969,0.00507141
sc,78959,0.00500736
ol,78794,0.0049969
di,76644,0.00486055
ap,74224,0.00470709
em,72625,0.00460568
so,72418,0.00459256
vi,72028,0.00456782
pr,71027,0.00450434
mo,68987,0.00437497
ea,67588,0.00428625
oc,67383,0.00427325
pe,64710,0.00410374
mi,63984,0.0040577
ni,62837,0.00398496
et,62717,0.00397735
ee,62624,0.00397146
ae,59618,0.00378083
ce,59382,0.00376586
op,57743,0.00366192
it,57668,0.00365716
oe,56054,0.00355481
ep,53514,0.00339373
ab,53493,0.0033924
su,53110,0.00336811
ha,52820,0.00334972
cu,52549,0.00333253
ll,52423,0.00332454
rt,51895,0.00329106
ve,51229,0.00324882
ns,50376,0.00319473
ot,50332,0.00319194
il,45595,0.00289154
ur,45337,0.00287518
ch,45205,0.0028668
eg,43335,0.00274822
ba,43251,0.00274289
im,41499,0.00263178
gr,41080,0.00260521
tu,40377,0.00256063
ss,40338,0.00255816
sm,40124,0.00254459
ga,39873,0.00252867
mp,39086,0.00247876
ex,38519,0.0024428
aa,37844,0.0024
us,36926,0.00234178
oa,36891,0.00233956
nl,36690,0.00232681
ct,36667,0.00232535
ul,35865,0.00227449
eo,35600,0.00225769
rn,35277,0.00223721
ua,34813,0.00220778
bi,34464,0.00218565
va,34439,0.00218406
ir,34057,0.00215984
ay,33287,0.00211101
gu,33237,0.00210784
pu,33227,0.0021072
nu,33218,0.00210663
rd,33050,0.00209598
ev,32984,0.00209179
mu,32924,0.00208799
rm,32839,0.0020826
rs,32709,0.00207435
ag,32686,0.00207289
rc,32554,0.00206452
br,32332,0.00205044
iv,32086,0.00203484
av,30869,0.00195767
fi,30341,0.00192418
ui,30151,0.00191213
ho,30122,0.00191029
go,29812,0.00189063
rr,29252,0.00185512
za,29065,0.00184326
sl,28104,0.00178232
fo,28092,0.00178156
ob,27941,0.00177198
ng,27407,0.00173812
au,27222,0.00172639
bl,26819,0.00170083
eb,26258,0.00166525
pi,26163,0.00165923
uc,26005,0.00164921
lt,25853,0.00163957
ig,25290,0.00160387
ge,24906,0.00157951
be,24518,0.00155491
ld,24499,0.0015537
ai,24450,0.0015506
lu,24246,0.00153766
ut,24143,0.00153113
ru,24137,0.00153075
je,23992,0.00152155
pl,23958,0.00151939
rl,23889,0.00151502
lc,23728,0.00150481
og,23662,0.00150062
np,23339,0.00148014
